<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0233.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0233.txt </filename>
<title>자연과 씨름하는  사람들 : 지구촌의 이색풍속도 '중국대륙편'</title>
<author>김능화  </author>
<date>1993  </date>
<publisher>간경도감  </publisher>
<kdc>380.912  </kdc>
<ddc>390.09517  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한반도의	한반도/nq+의/jcm
농초에서도	농촌/ncn+에서/jca+도/jxc
엄한	엄/ncps+하/xsm+ㄴ/etm
시어머니와	시어머니/ncn+와/jcj
남편	남편/ncn
밑에서	밑/ncn+에서/jca
혹독한	혹독/ncps+하/xsm+ㄴ/etm
시집살이를	시집/ncn+살이/ncn+를/jco
견디다	견디/pvg+다/ecx
못해	못하/px+어/ecs
시집을	시집/ncn+을/jco
박차고	박차/pvg+고/ecc
친정집을	친정/ncn+집/ncn+을/jco
향해	향하/pvg+어/ecx
무거운	무겁/paa+ㄴ/etm
발길을	발길/ncn+을/jco
옮기며	옮기/pvg+며/ecc
자신의	자신/ncn+의/jcm
말	말/ncn
못할	못하/pvg+ㄹ/etm
처지를	처지/ncn+를/jco
통탄하는	통탄/ncpa+하/xsv+는/etm
생각들을	생각/ncn+들/xsn+을/jco
중얼거리다가	중얼거리/pvg+다가/ecs
끝내	끝내/mag
울고마는	울/pvg+고/ecx+말/px+는/etm
민가	민가/ncn
또한	또한/maj
적지	적/pvg+지/ecx
않았었다	않/px+았었/ep+다/ef
.	./sf
장구한	장구/ncps+하/xsm+ㄴ/etm
세월을	세월/ncn+을/jco
통해	통하/pvg+어/ecx
경험한	경험/ncpa+하/xsv+ㄴ/etm
인생의	인생/ncn+의/jcm
고달픈	고달프/paa+ㄴ/etm
역경을	역경/ncn+을/jco
화아라는	화아라/nq+는/jxc
노래형식을	노래/ncn+형식/ncn+을/jco
빌려	빌리/pvg+어/ecx
늘	늘/mag
애창해	애창/ncpa+하/xsv+어/ecx
왔기에	오/px+았/ep+기/etn+에/jca
그들은	그/npp+들/xsn+은/jxc
모두가	모두/ncn+가/jcs
명창들뿐이다	명창/ncn+들/xsn+뿐/nbn+이/jp+다/ef
.	./sf
특히	특히/mag
화아는	화아/nq+는/jxc
남자들보다	남자/ncn+들/xsn+보다/jca
여자들이	여자/ncn+들/xsn+이/jcs
곧잘	곧잘/mag
부르는	부르/pvg+는/etm
애창곡이라고나	애창/ncn+곡/ncn+이/jp+라고나/ecs
할까	하/pvg+ㄹ까/ef
.	./sf
여성들은	여성/ncn+들/xsn+은/jxc
지금껏	지금껏/mag
이어져	잇/pvg+어/ecx+지/px+어/ecx
오고	오/px+고/ecx
있는	있/px+는/etm
남존여비	남존여비/ncn
사회분위기	사회/ncn+분위기/ncn
때문에	때문/nbn+에/jca
제대로	제대로/mag
사람다운	사람답/pvg+ㄴ/etm
대우를	대우/ncn+를/jco
받지	받/pvg+지/ecx
못해	못하/px+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
여자들은	여자/ncn+들/xsn+은/jxc
이	이/npd
화아를	화아/nq+를/jco
부를	부르/pvg+ㄹ/etm
때	때/ncn
마음에	마음/ncn+에/jca
내키지	내키/pvg+지/ecx
않은	않/px+은/etm
결혼	결혼/ncn
등으로	등/ncn+으로/jca
상처투성이의	상처/ncn+투성이/ncn+의/jcm
마음과	마음/ncn+과/jct
가련한	가련/ncps+하/xsm+ㄴ/etm
처지를	처지/ncn+를/jco
스스로	스스로/mag
달래며	달래/pvg+며/ecc
부디	부디/mag
내세	내세/ncn
(	(/sl
來世	來世/ncn
)	)/sr
에는	에/jca+는/jxc
꼭	꼭/mag
마음에	마음/ncn+에/jca
드는	들/pvg+는/etm
사람을	사람/ncn+을/jco
만나	만나/pvg+아/ecs
영원히	영원/ncn+히/xsa
행복하게	행복/ncpa+하/xsv+게/ecx
해달라는	하/px+어/ecx+달라/px+는/etm
염원을	염원/ncn+을/jco
애소하듯	애소/ncpa+하/xsv+듯/ecs
열창하기	열창/ncpa+하/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
그러면	그러면/maj
빠오안족	빠오안족/nq
(	(/sl
保安族	保安族/nq
)	)/sr
의	의/jcm
남녀가	남녀/ncn+가/jcs
애틋한	애틋/ncps+하/xsm+ㄴ/etm
사랑을	사랑/ncn+을/jco
회상하며	회상/ncpa+하/xsv+며/ecc
노상	노상/mag
잘	잘/mag
부르는	부르/pvg+는/etm
십팔번곡인	십팔/nnc+번/nbu+곡/ncn+이/jp+ㄴ/etm
화아가사	화아가사/nq
한	한/nnc
소절을	소절/ncn+을/jco
소개한다	소개/ncpa+하/xsv+ㄴ다/ef
.	./sf
어서	어서/mag
푸른	푸르/paa+ㄴ/etm
들	들/ncn
복판의	복판/ncn+의/jcm
샘물을	샘물/ncn+을/jco
퍼	푸/pvg+어/ecx
올립시다	올립/px+시/ep+다/ef
.	./sf
자작나무	자작나무/ncn
국자로	국자/ncn+로/jca
샘물줄기가	샘물/ncn+줄기/ncn+가/jcs
말라	마르/pvg+라/ecs
붙을	붙/pvg+을/etm
때까지	때/ncn+까지/jxc
혹시	혹시/mag
우리들의	우리/npp+들/xsn+의/jcm
단꿈이	단꿈/ncn+이/jcs
실없이	실/ncn+없/paa+이/xsa
끝나더라도	끝나/pvg+더/ep+라도/ecs
아흐렛날	아흐렛/nnc+날/ncn
밥엔	밥/ncn+에/jca+ㄴ/jxc
반드시	반드시/mag
얼음위에	얼음/ncn+위/ncn+에/jca
화사한	화사/ncps+하/xsm+ㄴ/etm
목단꽃이	목단꽃/ncn+이/jcs
피겠지요	피/pvg+겠/ep+지/ef+요/jxf
......	./sf+./sf+./sf+./sf+./sf+./sf
황아의	황아/nq+의/jcm
가사내용은	가사/ncn+내용/ncn+은/jxc
지방과	지방/ncn+과/jcj
민족에	민족/ncn+에/jca
따라	따르/pvg+아/ecs
다양하지만	다양/ncps+하/xsm+지만/ecs
대개의	대개/ncn+의/jcm
경우	경우/ncn
탄식	탄식/ncn
일변도라기보다	일변/ncn+도/xsn+라/ef+기/etn+보다/jca
다소	다소/ncn
미래	미래/ncn
지향적인	지향/ncn+적/xsn+이/jp+ㄴ/etm
소망을	소망/ncn+을/jco
담고	담/pvg+고/ecx
있는	있/px+는/etm
것도	것/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
따라서	따라서/maj
가락에	가락/ncn+에/jca
있어서는	있/paa+어서/ecs+는/jxc
임하지역	임하지역/nq
(	(/sl
夏	夏/nq
)	)/sr
의	의/jcm
회족	회족/nq
(	(/sl
回族	回族/nq
)	)/sr
이	이/jcs
자유로운	자유롭/px+ㄴ/etm
형식을	형식/ncn+을/jco
취하고	취하/pvg+고/ecx
있는데	있/px+는데/ecs
비해	비하/pvg+어/ecs
칭하이지역	칭하이/nq+지역/ncn
(	(/sl
淸海	淸海/nq
)	)/sr
의	의/jcm
시리적	시리적/nq
(	(/sl
族	族/nq
)	)/sr
가락은	가락/ncn+은/jxc
티베트족의	티베트족/nq+의/jcm
민가	민가/ncn
영향을	영향/ncn+을/jco
받아	받/pvg+아/ecs
고음인데다가	고음/ncn+이/jp+ㄴ데다가/ecs
떨리는	떨리/pvg+는/etm
목소리가	목소리/ncn+가/jcs
겹쳐져	겹치/pvg+어/ecx+지/px+어/ecx
있어	있/px+어/ecs
더욱	더욱/mag
애절한	애절/ncps+하/xsm+ㄴ/etm
감을	감/ncn+을/jco
느끼게	느끼/pvg+게/ecx
한다	하/px+ㄴ다/ef
.	./sf
그리고	그리고/maj
유구족	유구족/nq
(	(/sl
裕	裕/nq
族	族/nq
)	)/sr
의	의/jcm
가락은	가락/ncn+은/jxc
음정이	음정/ncn+이/jcs
매우	매우/mag
낮을	낮/paa+을/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
전체	전체/ncn
분위기가	분위기/ncn+가/jcs
감상적인	감상/ncn+적/xsn+이/jp+ㄴ/etm
선율로	선율/ncn+로/jca
되어	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
가창	가창/ncn
형식은	형식/ncn+은/jxc
독창과	독창/ncn+과/jcj
합창	합창/ncn
대창	대창/ncn
(	(/sl
對唱	對唱/nq
)	)/sr
남녀혼성	남녀혼성/ncn
합창	합창/ncn
등	등/nbn
다양하며	다양/ncps+하/xsm+며/ecc
대개	대개/mag
1	1/nnc
구	구/nbu
(	(/sl
句	句/ncn
)	)/sr
1	1/nnc
수	수/nbu
(	(/sl
首	首/ncn
)	)/sr
의	의/jcm
형식으로	형식/ncn+으로/jca
노래를	노래/ncn+를/jco
부른다	부르/pvg+ㄴ다/ef
.	./sf
그래서	그래서/maj
저마다	저/npp+마다/jxc
자칭	자칭/ncn
명가수인	명/xp+가수/ncn+이/jp+ㄴ/etm
이들을	이/npd+들/xsn+을/jco
고도의	고도/ncn+의/jcm
가창력을	가창/ncn+력/xsn+을/jco
자랑하므로	자랑/ncpa+하/xsv+므로/ecs
조용히	조용/ncn+히/xsa
귀를	귀/ncn+를/jco
기울여	기울이/pvg+어/ecx
보면	보/px+면/ecs
억양의	억양/ncn+의/jcm
높낙이	높낙/ncn+이/jcs
속에	속/ncn+에/jca
한없는	한없/paa+는/etm
정서가	정서/ncn+가/jcs
감돌고	감돌/pvg+고/ecx
있음을	있/px+음/etn+을/jco
실캄케	실캄/ncpa+하/xsv+게/ecx
한다	하/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
마을마다	마을/ncn+마다/jxc
조직되어	조직/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
화아회에서	화아회/nq+에서/jca
노래경연을	노래/ncn+경연/ncn+을/jco
할	하/pvg+ㄹ/etm
경우	경우/ncn
출연자끼리	출연/ncn+자/xsn+끼리/jxc
짝을	짝/nbn+을/jco
지어	짓/pvg+어/ecs
한사람이	한/nnc+사람/ncn+이/jcs
선창하면	선창/ncpa+하/xsv+면/ecs
모두가	모두/ncn+가/jcs
즉흥적인	즉흥/ncn+적/xsn+이/jp+ㄴ/etm
가사를	가사/ncn+를/jco
자작	자작/ncn
,	,/sp
합창하므로써	합창/ncpa+하/xsv+므로써/ecs
멋진	멋지/paa+ㄴ/etm
화음을	화음/ncn+을/jco
이루게	이루/pvg+게/ecx
되므로	되/px+므로/ecs
수많은	수많/paa+은/etm
관객들을	관객/ncn+들/xsn+을/jco
순식간에	순식간/ncn+에/jca
사로잡는다	사로잡/pvg+는/ep+다/ef
.	./sf
간쑤성	간쑤성/nq
강락	강락/nq
(	(/sl
甘쑤省	甘쑤省/nq
康樂	康樂/nq
)	)/sr
에	에/jca
위치한	위치/ncpa+하/xsv+ㄴ/etm
해발	해발/ncn
3	3/nnc
천	천/ncn
7	7/nnc
미터의	미터/nbu+의/jcm
연화산	연화산/nq
(	(/sl
連化山	連化山/nq
)	)/sr
정상에서	정상/ncn+에서/jca
매년	매년/mag
열리는	열리/pvg+는/etm
전국	전국/ncn
화앙	화앙/nq
명창대회에는	명창/ncn+대회/ncn+에/jca+는/jxc
수백리	수백리/ncn
밖에	밖/ncn+에/jca
사는	살/pvg+는/etm
각	각/mma
민족들이	민족/ncn+들/xsn+이/jcs
멋진	멋지/paa+ㄴ/etm
고유	고유/ncn
의상을	의상/ncn+을/jco
차려입고	차리/pvg+어/ecs+입/pvg+고/ecx
다투어	다투/pvg+어/ecx
모여	모이/pvg+어/ecx
들어서	들/pvg+어서/ecs
인산인해를	인산인해/ncn+를/jco
이룬다	이루/pvg+ㄴ다/ef
.	./sf
연화산은	연화산/nq+은/jxc
풍광명미	풍광명미/ncn
(	(/sl
風光明媚	風光明媚/nq
)	)/sr
할	하/pvg+ㄹ/etm
뿐더러	뿥/nbn+더러/jca
도하의	도하/nq+의/jcm
푸른	푸르/paa+ㄴ/etm
강물이	강물/ncn+이/jcs
강자락을	강자락/ncn+을/jco
휘감아	휘감/pvg+아/ecx
도는	돌/pvg+는/etm
담홍색	담홍색/ncn
화강암으로	화강암/ncn+으로/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
그곳	그/npd+곳/nbn
명산	명산/ncn
중의	중/ncn+의/jcm
명산으로	명산/ncn+으로/jca
꼽힌다	꼽히/pvg+ㄴ다/ef
.	./sf
언제나	언제나/mag
안개구름이	안개/ncn+구름/ncn+이/jcs
산마루를	산마루/ncn+를/jco
자욱히	자욱히/mag
감싸고	감싸/pvg+고/ecx
있는	있/px+는/etm
산정에서	산정/ncn+에서/jca
각	각/mma
민족	민족/ncn
대표로	대표/ncn+로/jca
출연한	출연/ncpa+하/xsv+ㄴ/etm
명창들이	명창/ncn+들/xsn+이/jcs
열창하는	열창/ncpa+하/xsv+는/etm
민가	민가/ncn
화아의	화아/nq+의/jcm
노래	노래/ncn
소리는	소리/ncn+는/jxc
마치	마치/mag
천하를	천하/ncn+를/jco
호령하듯	호령/ncpa+하/xsv+듯/ecs
끝없는	끝없/paa+는/etm
메아리가	메아리/ncn+가/jcc
되어	되/pvg+어/ecs
지평선	지평/ncn+선/ncn
저	저/mmd
멀리까지	멀리/ncn+까지/jca
울려	울리/pvg+어/ecx
퍼진다	퍼지/pvg+ㄴ다/ef
.	./sf
실로	실로/mag
장관이	장관/ncn+이/jcs
아닐	아니/paa+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
그날의	그날/ncn+의/jcm
명창	명창/ncn
화아대회는	화아/ncn+대회/ncn+는/jxc
보통	보통/ncn
4	4/nnc
.	./sf
5	5/nnc
명의	명/nbu+의/jcm
젊은	젊/paa+은/etm
남녀가	남녀/ncn+가/jcs
짝이	짝/nbn+이/jcs
되어	되/pvg+어/ecx
출연하다	출연/ncpa+하/xsv+다/ef
.	./sf
그래서	그래서/maj
먼저	먼저/mag
가창력이	가창/ncn+력/xsn+이/jcs
뛰어난	뛰어나/paa+ㄴ/etm
선창자가	선창/ncn+자/xsn+가/jcs
음두	음두/ncn
(	(/sl
音頭	音頭/ncn
)	)/sr
를	를/jco
잡으면	잡/pvg+으면/ecs
각기	각기/mag
음정과	음정/ncn+과/jcj
음역에	음역/ncn+에/jca
따라	따르/pvg+아/ecs
순번대로	순번/ncn+대로/jca
나누어	나누/pvg+어/ecs
목청을	목청/ncn+을/jco
마음껏	마음껏/mag
높이다가	높이/pvg+다가/ecs
소절	소절/ncn
(	(/sl
小節	小節/ncn
)	)/sr
에	에/jca
와서는	오/pvg+아서는/ecs
저음으로	저음/ncn+으로/jca
합성한다	합성/ncpa+하/xsv+ㄴ다/ef
.	./sf
출연팀	출연/ncn+팀/ncn
중에는	중/ncn+에/jca+는/jxc
즉석에서	즉석/ncn+에서/jca
짝을	짝/nbn+을/jco
지어	짓/pvg+어/ecx
나오지만	나오/px+지만/ecs
거의가	거의/ncn+가/jcs
미성	미성/ncn
(	(/sl
美聲	美聲/ncn
)	)/sr
이기	이/jp+기/etn
때문에	때문/nbn+에/jca
노래가	노래/ncn+가/jcs
끝날	끝나/pvg+ㄹ/etm
때마다	때/ncn+마다/jxc
수천	수천/nnc
명의	명/nbu+의/jcm
구경꾼들로부터	구경/ncn+꾼/xsn+들/xsn+로/jca+부터/jxc
환호와	환호/ncn+와/jcj
박수갈채를	박수갈채/ncn+를/jco
받는다	받/pvg+는다/ef
.	./sf
대회가	대회/ncn+가/jcs
끝날	끝나/pvg+ㄹ/etm
무렵	무렵/nbn
최우수	최/xp+우수/ncn
명창가수에게는	명창/ncn+가수/ncn+에게/jca+는/jxc
측백	측백/ncn
나무로	나무/ncn+로/jca
된	되/pvg+ㄴ/etm
월계관을	월계/ncn+관/ncn+을/jco
증정하는	증정/ncpa+하/xsv+는/etm
한편	한편/ncn
어깨에다	어깨/ncn+에/jca+다/jxc
대형	대형/ncn
분홍색	분홍색/ncn
리본을	리본/ncn+을/jco
달아주게	달/pvg+아/ecx+주/px+게/ecx
되어	되/px+어/ecs
일약	일약/mag
스타로	스타/ncn+로/jca
군림하게	군림/ncpa+하/xsv+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
이어	잇/pvg+어/ecx
명창끼리	명창/ncn+끼리/jxc
즉성	즉성/maj
합동	합동/ncn
결혼식이	결혼/ncn+식/xsn+이/jcs
성대하게	성대/ncps+하/xsm+게/ecx
치뤄진다	치루/px+어/ecx+지/px+ㄴ다/ef
.	./sf
보통	보통/ncn
2	2/nnc
.	./sf
3	3/nnc
백쌍의	백쌍/nbu+의/jcm
신혼부부가	신혼부부/ncn+가/jcs
산정에서	산정/ncn+에서/jca
탄생됨으로	탄생/ncpa+되/xsv+ㅁ/etn+으로/jca
그곳에	그/npd+곳/nbn+에/jca
모인	모이/pvg+ㄴ/etm
구경꾼들이	구경/ncn+꾼/xsn+들/xsn+이/jcs
아낌없는	아낌없/paa+는/etm
축복을	축복/ncn+을/jco
받는다	받/pvg+는다/ef
.	./sf
이들	이/npd+들/xsn
부부를	부부/ncn+를/jco
화앙부부라고	화앙부부/ncn+라/ef+고/jcr
부르게	부르/pvg+게/ecx
되며	되/px+며/ecc
보다	보다/mag
더	더/mag
뛰어난	뛰어나/paa+ㄴ/etm
[	[/sl
명창	명창/ncn
2	2/nnc
세를	세/nbu+를/jco
첫날	첫날/ncn
밤에	밤/ncn+에/jca
잉태시켜	잉태/ncpa+시키/xsv+어/ecx
달라	달라/px+아/ecs
]	]/sr
는	는/jxc
소망을	소망/ncn+을/jco
빌기	빌/pvg+기/etn
위해	위하/pvg+어/ecx
합동	합동/ncn
산신제를	산신/ncn+제/xsn+를/jco
올린다	올리/pvg+ㄴ다/ef
.	./sf
때문에	때문/nbn+에/jca
첫날밤은	첫날/ncn+밤/ncn+은/jxc
그곳	그/npd+곳/nbn
간이	간/ncn+이/jcs
숙소에서	숙소/ncn+에서/jca
지내며	지내/pvg+며/ecc
구경꾼들	구경/ncn+꾼/xsn+들/xsn
역시	역시/mag
이들을	이/npd+들/xsn+을/jco
보호해	보호/ncpa+하/xsv+어/ecx
주기	주/px+기/etn
위해	위하/pvg+어/ecx
끼리끼리	끼리끼리/mag
모여	모이/pvg+어/ecx
밤샘을	밤샘/ncn+을/jco
해준다	하/pvg+어/ecx+주/px+ㄴ다/ef
.	./sf
그런데	그런데/maj
무엇보다	무엇/npd+보다/jca
기이한	기이/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
산신제를	산신/ncn+제/xsn+를/jco
올릴	올리/pvg+ㄹ/etm
때	때/ncn
일반제물	일반/ncn+제물/ncn
대신	대신/ncn
인체	인체/ncn
제단에	제단/ncn+에/jca
받친다는	받치/pvg+ㄴ다/ef+는/etm
뜻에서	뜻/ncn+에서/jca
전체	전체/ncn
신혼부부가	신혼/ncn+부부/ncn+가/jcs
나체가	나체/ncn+가/jcs
되어	되/pvg+어/ecx
제법	제법/mag
엄숙한	엄숙/ncps+하/xsm+ㄴ/etm
분위기에서	분위기/ncn+에서/jca
의식을	의식/ncn+을/jco
치르는	치르/pvg+는/etm
진풍경을	진/xp+풍경/ncn+을/jco
선보이게	선보이/pvg+게/ecx
되므로	되/px+므로/ecs
구경꾼들의	구경/ncn+꾼/xsn+들/xsn+의/jcm
눈을	눈/ncn+을/jco
휘둥그레하게	휘둥그레/ncpa+하/xsv+게/ecx
하기도	하/px+기/etn+도/jxc
.	./sf
불교유적	불교/nq+유적/ncn
157303100 < </sl
천불동	천불동/nq
>	>/sr
바위에	바위/ncn+에/jca
굴을	굴/ncn+을/jco
뚫어	뚫/pvg+어/ecx
만든	만들/px+ㄴ/etm
불교유적	불교/nq+유적/ncn
천불동	천불동/nq
(	(/sl
千佛洞	千佛洞/nq
).	)/sr+./sf
인간의	인간/ncn+의/jcm
의지	의지/ncn
,	,/sp
아니	아니/mag
[	[/sl
종교의	종교/ncn+의/jcm
의지	의지/ncn
]	]/sr
란	란/jxc
그렇게도	그렇게도/mag
끈질긴	끈질기/paa+ㄴ/etm
것일까	것/nbn+이/jp+ㄹ까/ef
.	./sf
지금부터	지금/ncn+부터/jxc
약	약/mma
1	1/nnc
천	천/ncn
9	9/nnc
백	백/ncn
년	년/nbu
전	전/ncn
,	,/sp
중국대륙에는	중국/nq+대륙/ncn+에/jca+는/jxc
마치	마치/mag
땅벌들이	땅벌/ncn+들/xsn+이/jcs
바위에	바위/ncn+에/jca
구멍을	구멍/ncn+을/jco
뚫어	뚫/pvg+어/ecs
집을	집/ncn+을/jco
지어	짓/pvg+어/ecx
놓은	놓/px+은/etm
듯	듯/nbn
거대한	거대/ncpa+하/xsv+ㄴ/etm
벌집같은	벌집/ncn+같/paa+은/jxc
불교사원이	불교/ncn+사원/ncn+이/jcs
수	수/mma
백개나	백/nnc+개/nbu+나/ecs
들어서	들/pvg+어서/ecs
있어서	있/px+어서/ecs
인도의	인도/nq+의/jcm
불교성지를	불교/nq+성지/ncn+를/jco
무색케	무색/ncps+하/xsm+게/ecx
했다	하/px+었/ep+다/ef
.	./sf
화제의	화제/ncn+의/jcm
석굴은	석굴/ncn+은/jxc
석가모니의	석가모니/nq+의/jcm
5	5/nnc
대	대/nbu
수제자들이	수제/ncn+자/xsn+들/xsn+이/jcs
중국으로	중국/nq+으로/jca
건너와	건너오/pvg+아/ecs
고행을	고행/ncn+을/jco
몸소	몸소/ncn
실천	실천/ncn
,	,/sp
불교의	불교/nq+의/jcm
심오한	심오/ncps+하/xsm+ㄴ/etm
교리를	교리/ncn+를/jco
널리	널리/mag
전파하기	전파/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecx
갖은	갖/pvg+은/etm
고난을	고난/ncn+을/jco
무릅쓰고	무릅쓰/pvg+고/ecc
수십	수십/nnc
년에	년/nbu+에/jca
걸친	걸치/pvg+ㄴ/etm
각고	각고/ncn
끝에	끝/ncn+에/jca
승려들이	승려/ncn+들/xsn+이/jcs
직접	직접/mag
바위굴을	바위굴/ncn+을/jco
뚫어	뚫/pvg+어/ecx
완성한	완성/ncpa+하/xsv+ㄴ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
고사는	고사/ncn+는/jxc
적고	적/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그러나	그러나/maj
이보다	이/npd+보다/jca
화제의	화제/ncn+의/jcm
석굴	석굴/ncn
천불동은	천불동/ncn+은/jxc
그곳	그/npd+곳/nbn
산신령의	산신령/ncn+의/jcm
도움으로	도움/ncn+으로/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
천연동굴과	천연/ncn+동굴/ncn+과/jct
같은	같/paa+은/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
전설이	전설/ncn+이/jcs
깃들어	깃들/pvg+어/ecx
있기도	있/px+기/etn+도/jxc
하다	하/pvg+다/ef
.	./sf
어느날	어느날/maj
달빛이	달빛/ncn+이/jcs
유난히	유난히/mag
빛나는	빛나/pvg+는/etm
고요한	고요/ncpa+하/xsv+ㄴ/etm
밤이었다	밤/ncn+이/jp+었/ep+다/ef
.	./sf
석가의	석가/nq+의/jcm
제자들이	제자/ncn+들/xsn+이/jcs
석굴을	석굴/ncn+을/jco
뚫기	뚫/pvg+기/etn
위해	위하/pvg+어/ecs
정성을	정성/ncn+을/jco
다해	다하/pvg+어/ecx
먼저	먼저/mag
산신령에게	산신령/ncn+에게/jca
울리는	울리/pvg+는/etm
제물을	제물/ncn+을/jco
마련	마련/nbn
,	,/sp
안정과	안정/ncn+과/jcj
도움을	도움/ncn+을/jco
비는	비/paa+는/etm
제를	제/ncn+를/jco
진행하고	진행/ncpa+하/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그런데	그런데/maj
그날	그/npd+날/ncn
밤은	밤/ncn+은/jxc
공교롭게도	공교롭/paa+게도/ecs
산신령의	산신령/ncn+의/jcm
생일날이었다	생일/ncn+날/ncn+이/jp+었/ep+다/ef
.	./sf
이윽고	이윽고/maj
산신령인	산신령/ncn+이/jp+ㄴ/etm
큰	크/paa+ㄴ/etm
호랑이가	호랑이/ncn+가/jcs
두	두/nnc
눈을	눈/ncn+을/jco
번쩍이며	번쩍이/pvg+며/ecc
제상	제상/ncn
앞에	앞/ncn+에/jca
나타났다	나타나/pvg+았/ep+다/ef
.	./sf
이어	잇/pvg+어/ecs
사자와	사자/ncn+와/jcj
소	소/ncn
.	./sf
말	말/ncn
.	./sf
멧돼지	멧돼지/ncn
.	./sf
곰	곰/ncn
.	./sf
코뿔소	코뿔소/ncn
.	./sf
늑대	늑대/ncn
.	./sf
여우	여우/ncn
.	./sf
오소리	오소리/ncn
그리고	그리고/maj
표범과	표범/ncn+과/jct
뱀에	뱀/ncn+에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
모든	모든/mma
짐승들이	짐승/ncn+들/xsn+이/jcs
저맏	저맏/mag
왕에게	왕/ncn+에게/jca
바칠	바치/pvg+ㄹ/etm
선물을	선물/ncn+을/jco
갖고	갖/pvg+고/ecx
모여	모이/pvg+어/ecx
들었다	들/pvg+었/ep+다/ef
.	./sf
"	"/sl
오늘밤은	오늘/ncn+밤/ncn+은/jxc
무엇보다	무엇/npd+보다/jca
부처님의	부처/nq+님/xsn+의/jcm
대자비를	대/xp+자비/ncn+를/jco
천하에	천하/ncn+에/jca
널리	널리/mag
펴기	펴/pvg+기/etn
위한	위하/pvg+ㄴ/etm
석굴	석굴/ncn
사원	사원/ncn
공사를	공사/ncn+를/jco
의논하는	의논/ncpa+하/xsv+는/etm
날이다	날/ncn+이/jp+다/ef
.	./sf
우리	우리/npp
모두	모두/mmd
여기	여기/npd
차린	차리/pvg+ㄴ/etm
진수성찬을	진수성찬/ncn+을/jco
맛있게	맛있/paa+게/ecx
먹고	먹/pvg+고/ecc
힘을	힘/ncn+을/jco
합쳐	합치/pvg+어/ecx
돕도록	돕/pvg+도록/ecs
하자	하/px+자/ef
."	./sf+"/sl
고	고/jcr
신령이	신령/ncn+이/jcs
간곡히	간곡히/mag
부탁했다	부탁/ncpa+하/xsv+었/ep+다/ef
.	./sf
얼마	얼마/ncn
후	후/ncn
곰과	곰/ncn+과/jcj
오소리	오소리/ncn
그리고	그리고/maj
뱀이	뱀/ncn+이/jcs
간청하듯	간청/ncpa+하/xsv+듯/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
신령님	신령/ncn+님/xsn
!	!/sf
우리들이	우리/npp+들/xsn+이/jcs
사는	살/pvg+는/etm
곳이	곳/ncn+이/jcs
이곳	이곳/npd
바위굴	바위/ncn+굴/ncn
속인데	속/ncn+이/jp+ㄴ데/ecs
우리들은	우리/npp+들/xsn+은/jxc
어디로	어디/npd+로/jca
가라는	가/pvg+라/ef+는/etm
말씀입니까	말씀/ncn+이/jp+ㅂ니까/ef
."	./sf+"/sl
잠시	잠시/mag
침묵이	침묵/ncn+이/jcs
흘렀다	흐르/pvg+었/ep+다/ef
.	./sf
곰곰이	곰곰이/mag
생각한	생각/ncpa+하/xsv+ㄴ/etm
산신령이	산/ncn+신령/ncn+이/jcs
"	"/sl
사정이	사정/ncn+이/jcs
딱하군	딱/ncps+하/xsm+군/ef
.	./sf
그럼	그렇/pad+ㅁ/etn
내가	내/npp+가/jcs
이웃	이웃/ncn
신령께	신령/ncn+께/jca
부탁해	부탁/ncpa+하/xsv+어/ecx
보다	보다/mag
좋은	좋/paa+은/etm
집을	집/ncn+을/jco
마련해	마련/ncpa+하/xsv+어/ecx
줄	주/pvg+ㄹ/etm
테니	터/nbn+이/jp+니/ecs
어떠냐	어떨/paa+냐/ef
..."	./sf+./sf+./sf+"/sl
그제야	그제/ncn+야/jxc
모두	모두/mmd
박수를	박수/ncn+를/jco
치며	치/pvg+며/ecc
