<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0401.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0401.txt </filename>
<title>그림 속으로 여행하는 상대성이론  </title>
<author>루이스 엡스타인 저 ; 박성근 역  </author>
<date>1993  </date>
<publisher>에드덱  </publisher>
<kdc>420.12  </kdc>
<ddc> 530.11 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
갈릴레오의	갈릴레오/nq+의/jcm
있거나	있/px+거나/ecc
정적인	정적/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
측정된다	측정/ncpa+되/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
공간	공간/ncn
속에	속/ncn+에/jca
정적인	정적/ncn+이/jp+ㄴ/etm
장을	장/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
정적인	정적/ncn+이/jp+ㄴ/etm
장으로	장/ncn+으로/jca
만들기	만들/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
자석이나	자석/ncn+이나/jcj
전하가	전하/ncn+가/jcs
있어야	있/paa+어야/ecx
한다	하/px+ㄴ다/ef
.	./sf
만약	만약/mag
자석이나	자석/ncn+이나/jcj
전하를	전하/ncn+를/jco
갖고	갖/pvg+고/ecx
있다면	있/px+다면/ecs
그	그/mmd
공간은	공간/ncn+은/jxc
빈	비/paa+ㄴ/etm
공간이	공간/ncn+이/jcc
아니다	아니/paa+다/ef
.	./sf
그리고	그리고/maj
정적인	정적/ncn+이/jp+ㄴ/etm
장은	장/ncn+은/jxc
자석이나	자석/ncn+이나/jcj
전하와	전하/ncn+와/jct
직접	직접/mag
관련되어	관련/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf
자석을	자석/ncn+을/jco
부수어뜨린다거나	부수/pvg+어/ecx+뜨리/px+ㄴ다/ef+거나/ecs
전하들을	전하/ncn+들/xsn+을/jco
방전시키는	방전/ncpa+시키/xsv+는/etm
것은	것/nbn+은/jxc
정적인	정적/ncn+이/jp+ㄴ/etm
장을	장/ncn+을/jco
없애	없애/pvg+어/ecx
버리는	버리/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
빈	비/paa+ㄴ/etm
공간에	공간/ncn+에/jca
광파가	광파/ncn+가/jcs
정지된	정지/ncpa+되/xsv+ㄴ/etm
상태로	상태/ncn+로/jca
존재할	존재/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없음을	없/paa+음/etn+을/jco
알	알/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
광파는	광파/ncn+는/jxc
존재하기	존재/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
움직여야	움직이/pvg+어야/ecx
하는데	하/px+는데/ecs
,	,/sp
그	그/mmd
이유는	이유/ncn+는/jxc
이것이	이것/npd+이/jcs
전기장과	전기장/ncn+과/jcj
자기장으로	자기장/ncn+으로/jca
만들어졌기	만들/pvg+어/ecx+지/px+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
그리고	그리고/maj
이	이/mmd
장들은	장/ncn+들/xsn+은/jxc
변화에	변화/ncn+에/jca
의존하는	의존/ncpa+하/xsv+는/etm
상호교환의	상호/ncn+교환/ncn+의/jcm
방법에	방법/ncn+에/jca
의해	의하/pvg+어/ecs
존속하는	존속/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
마치	마치/mag
정지해	정지/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
광파를	광파/ncn+를/jco
보는	보/pvg+는/etm
것은	것/nbn+은/jxc
직류에	직류/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
교류변압기를	교류/ncn+변압/ncn+기/xsn+를/jco
보는	보/pvg+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
당신이	당신/npp+이/jcs
움직임으로써	움직임/ncn+으로써/jca
전자기학의	전자기/ncn+학/xsn+의/jcm
법칙이	법칙/ncn+이/jcs
조금은	조금/ncn+은/jxc
변형된	변형/ncpa+되/xsv+ㄴ/etm
형태로	형태/ncn+로/jca
나타나지	나타나/pvg+지/ecx
않을까	않/px+을까/ef
생각할	생각/ncpa+하/xsv+ㄹ/etm
지	지/nbn
모르지만	모르/pvg+지만/ecs
,	,/sp
그러나	그러나/maj
갈릴레오의	갈릴레오/nq+의/jcm
주장과	주장/ncn+과/jcj
포인카의	포인카/nq+의/jcm
상대성	nq[상대/ncn+성/xsn
원리를	원리/ncn]nq+를/jco
기억하면	기억/ncpa+하/xsv+면/ecs
그러한	그러하/pad+ㄴ/etm
변화는	변화/ncn+는/jxc
불가능한	불/xp+가능/ncps+하/xsm+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
왜냐면	왜냐면/maj
만약	만약/mag
그러한	그러하/pad+ㄴ/etm
변화를	변화/ncn+를/jco
밀봉된	밀봉/ncpa+되/xsv+ㄴ/etm
실험실에서	실험/ncn+실/xsn+에서/jca
발견했다면	발견/ncpa+하/xsv+었/ep+다면/ecs
그	그/mmd
밀봉해진	밀봉/ncpa+하/xsv+어/ecx+지/px+ㄴ/etm
실험실이	실험/ncn+실/xsn+이/jcs
움직이고	움직이/pvg+고/ecx
있다는	있/px+다/ef+는/etm
사실을	사실/ncn+을/jco
말해주는	말/ncpa+하/xsv+어/ecx+주/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
정지한	정지/ncpa+하/xsv+ㄴ/etm
광파를	광파/ncn+를/jco
측정하는	측정/ncpa+하/xsv+는/etm
가능성을	가능/ncn+성/xsn+을/jco
배제키	배제/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
속력이	속력/ncn+이/jcs
조금이라도	조금/ncn+이라도/jxc
줄어드는	줄어들/pvg+는/etm
것이	것/nbn+이/jcs
허락되지	허락/ncpa+되/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
왜냐면	왜냐면/maj
반복적으로	반복/ncn+적/xsn+으로/jca
속도가	속도/ncn+가/jcs
줄어든다면	줄어들/pvg+ㄴ다면/ecs
언젠가는	언젠가/ncn+는/jxc
정지할테니까	정지/ncpa+하/xsv+ㄹ테니까/ef
.	./sf
위에	위/ncn+에/jca
언급한	언급/ncpa+하/xsv+ㄴ/etm
순수한	순수/ncps+하/xsm+ㄴ/etm
이론적인	이론/ncn+적/xsn+이/jp+ㄴ/etm
근거를	근거/ncn+를/jco
바탕으로	바탕/ncn+으로/jca
두	두/nnc
트럭	트럭/ncn
실험의	실험/ncn+의/jcm
결과는	결과/ncn+는/jxc
어떤	어떤/mmd
실행가능한	실행/ncn+가능/ncps+하/xsm+ㄴ/etm
실험과도	실험/ncn+과/jct+도/jxc
동떨어지고	동떨어지/pvg+고/ecs
독립된	독립/ncpa+되/xsv+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
제3장	제/xp+3/nno+장/nbu
판도라의	판도라/nq+의/jcm
상자	상자/ncn
사고	사고/ncn
실험	실험/ncn
"	"/sl
Gedanken	Gedanken/f
실험	실험/ncn
"	"/sr
은	은/jxc
아인슈타인의	아인슈타인/nq+의/jcm
사고	사고/ncn
실험의	실험/ncn+의/jcm
독일식	독일/nq+식/xsn
표현이다	표현/ncn+이/jp+다/ef
.	./sf
이	이/mmd
사고	사고/ncn
실험이란	실험/ncn+이/jp+란/jxc
머리	머리/ncn
속으로	속/ncn+으로/jca
해보는	하/pvg+어/ecx+보/px+는/etm
실험인데	실험/ncn+이/jp+ㄴ데/ecs
,	,/sp
이것이	이것/npd+이/jcs
가능한	가능/ncps+하/xsm+ㄴ/etm
이유는	이유/ncn+는/jxc
상상해	상상/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
사건들을	사건/ncn+들/xsn+을/jco
지배하는	지배/ncpa+하/xsv+는/etm
물리법칙들을	물리/ncn+법칙/ncn+들/xsn+을/jco
머리	머리/ncn
속에	속/ncn+에/jca
갖고	갖/pvg+고/ecx
있기	있/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
아인슈타인은	아인슈타인/nq+은/jxc
빛의	빛/ncn+의/jcm
속력을	속력/ncn+을/jco
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
만들기	만들/pvg+기/etn
위해	위하/pvg+어/ecs
필요한	필요/ncps+하/xsm+ㄴ/etm
시간과	시간/ncn+과/jcj
공간의	공간/ncn+의/jcm
개념	개념/ncn
중에	중/nbn+에/jca
수정이	수정/ncn+이/jcs
필요한	필요/ncps+하/xsm+ㄴ/etm
부분을	부분/ncn+을/jco
사고	사고/ncn
실험을	실험/ncn+을/jco
통해	통하/pvg+어/ecs
찾아내려	찾/pvg+아/ecx+내/px+려/ecs
했다	하/px+었/ep+다/ef
.	./sf
그의	그/npp+의/jcm
논리는	논리/ncn+는/jxc
거꾸로	거꾸로/mag
생각하는	생각/ncpa+하/xsv+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
그는	그/npp+는/jxc
빛의	빛/ncn+의/jcm
속력은	속력/ncn+은/jxc
절대적이고	절대/ncn+적/xsn+이/jp+고/ecs
갈릴레오의	갈릴레오/nq+의/jcm
주장은	주장/ncn+은/jxc
변함없는	변하/pvg+ㅁ/etn+없/paa+는/etm
진실이라고	진실/ncps+이/jp+라/ef+고/ecs
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
이	이/mmd
위의	위/ncn+의/jcm
두	두/nnc
가지	가지/nbu
생각이	생각/ncn+이/jcs
시간과	시간/ncn+과/jcj
공간의	공간/ncn+의/jcm
개념에	개념/ncn+에/jca
끼치는	끼치/pvg+는/etm
결과는	결과/ncn+는/jxc
어떠한	어떠하/pad+ㄴ/etm
것일까	것/nbn+이/jp+ㄹ까/ef
?	?/sf
이	이/mmd
사고	사고/ncn
실험의	실험/ncn+의/jcm
결과는	결과/ncn+는/jxc
매우	매우/mag
놀라운	놀랍/paa+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
통일된	통일/ncpa+되/xsv+ㄴ/etm
동작	동작/ncpa
우주선들이	우주/ncn+선/xsn+들/xsn+이/jcs
정렬한	정렬/ncpa+하/xsv+ㄴ/etm
채	채/nbn
우주를	우주/ncn+를/jco
항해하고	항해/ncpa+하/xsv+고/ecx
있다고	있/px+다고/ecs
생각해보자	생각/ncpa+하/xsv+어/ecx+보/px+자/ef
.	./sf
처음의	처음/ncn+의/jcm
형태로	형태/ncn+로/jca
변함없이	변하/pvg+ㅁ/etn+없이/jca
움직인다고	움직이/pvg+ㄴ다고/ecs
가정할	가정/ncpa+하/xsv+ㄹ/etm
때	때/nbn
모든	모든/mma
참가한	참가/ncpa+하/xsv+ㄴ/etm
우주선들은	우주/ncn+선/xsn+들/xsn+은/jxc
똑같이	똑같/paa+이/xsa
움직여야	움직이/pvg+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
출발도	출발/ncn+도/jxc
동시에	동시/ncn+에/jca
,	,/sp
속도의	속도/ncn+의/jcm
줄임도	줄이/pvg+ㅁ/etn+도/jxc
동시에	동시/ncn+에/jca
,	,/sp
정지도	정지/ncn+도/jxc
동시에	동시/ncn+에/jca
해야	하/pvg+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
만약	만약/mag
어느	어느/mmd
한	한/nnc
우주선이	우주/ncn+선/xsn+이/jcs
더	더/mag
천천히	천천/ncn+히/xsa
혹은	혹은/maj
약간	약간/mag
더	더/mag
빨리	빠르/paa+이/xsa
움직인다면	움직이/pvg+ㄴ다면/ecs
옆에	옆/ncn+에/jca
위치해	위치/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
우주선들간의	우주/ncn+선/xsn+들/xsn+간/xsn+의/jcm
간격이	간격/ncn+이/jcs
달라져서	다르/paa+아/ecx+지/px+어서/ecs
전체의	전체/ncn+의/jcm
형태에	형태/ncn+에/jca
변형이	변형/ncn+이/jcs
생길	생기/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
중력을	중력/ncn+을/jco
무시할	무시/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
어느	어느/mmd
먼	멀/paa+ㄴ/etm
우주공간에	우주/ncn+공간/ncn+에/jca
미항공우주국	미항공우주국/nq
소속의	소속/ncn+의/jcm
세	세/nnc
개의	개/nbu+의/jcm
우주선이	우주/ncn+선/xsn+이/jcs
나란히	나란/ncn+히/xsa
일직선상의	일직선/ncn+상/xsn+의/jcm
항로를	항로/ncn+를/jco
진행한다고	진행/ncpa+하/xsv+ㄴ다/ef+고/ecs
가정해보자	가정/ncpa+하/xsv+어/ecx+보/px+자/ef
.	./sf
가운데	가운데/ncn
우주선에	우주/ncn+선/xsn+에/jca
사령관이	사령/ncn+관/xsn+이/jcs
타고	타/pvg+고/ecx
있어서	있/px+어서/ecs
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선에	우주/ncn+선/xsn+에/jca
동시에	동시/ncn+에/jca
명령을	명령/ncn+을/jco
전달할	전달/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되어	되/px+어/ecx
있다	있/px+다/ef
.	./sf
명령은	명령/ncn+은/jxc
깃발을	깃발/ncn+을/jco
사용하거나	사용/ncpa+하/xsv+거나/ecc
라디오파를	라디오/ncn+파/xsn+를/jco
이용한다	이용/ncpa+하/xsv+ㄴ다/ef
.	./sf
어떻든간에	어떻/pad+든/ecs+간/xsn+에/jca
이	이/mmd
명령은	명령/ncn+은/jxc
빛의	빛/ncn+의/jcm
속도로	속도/ncn+로/jca
전달된다	전달/ncpa+되/xsv+ㄴ다/ef
.	./sf
처음에	처음/ncn+에/jca
어떤	어떤/mmd
속도인지는	속도/ncn+이/jp+ㄴ/etm+지/nbn+는/jxc
모르지만	모르/pvg+지만/ecs
일정한	일정/ncps+하/xsm+ㄴ/etm
속도로	속도/ncn+로/jca
움직이는	움직이/pvg+는/etm
"	"/sl
정적인	정적/ncn+이/jp+ㄴ/etm
"	"/sr
움직임이라	움직임/ncn+이/jp+라/ef
하자	하/pvg+자/ef
.	./sf
이	이/mmd
우주선	우주/ncn+선/xsn
훈련에	훈련/ncn+에/jca
참관이	참관/ncn+이/jcs
허락되었다	허락/ncpa+되/xsv+었/ep+다/ef
.	./sf
사령관의	사령/ncn+관/xsn+의/jcm
명령이	명령/ncn+이/jcs
전달된다	전달/ncpa+되/xsv+ㄴ다/ef
.	./sf
엔진을	엔진/ncn+을/jco
1	1/nnc
분	분/nbu
동안	동안/ncn
점화한다	점화/ncpa+하/xsv+ㄴ다/ef
.	./sf
"	"/sl
다섯	다섯/nnc
,	,/sp
넷	넷/nnc
,	,/sp
셋	셋/nnc
,	,/sp
둘	둘/nnc
,	,/sp
하나	하나/nnc
,	,/sp
점화	점화/ncn
!"	!/sf+"/sr
명령이	명령/ncn+이/jcs
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선에	우주/ncn+선/xsn+에/jca
동시에	동시/ncn+에/jca
하달되었다	하달/ncpa+되/xsv+었/ep+다/ef
.	./sf
모든	모든/mma
우주선의	우주/ncn+선/xsn+의/jcm
엔진이	엔진/ncn+이/jcs
동시에	동시/ncn+에/jca
점화된	점화/ncpa+되/xsv+ㄴ/etm
후	후/ncn
동시에	동시/ncn+에/jca
꺼졌다	꺼지/pvg+었/ep+다/ef
.	./sf
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선의	우주/ncn+선/xsn+의/jcm
거리는	거리/ncn+는/jxc
변함이	변하/pvg+ㅁ/etn+이/jcs
없고	없/paa+고/ecs
가운데의	가운데/ncn+의/jcm
우주선이	우주/ncn+선/xsn+이/jcs
중앙에	중앙/ncn+에/jca
위치하고	위치/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
이	이/mmd
우주선	우주/nnc+선/xsn
편대는	편대/ncn+는/jxc
천천히	천천/ncn+히/xsa
우측으로	우측/ncn+으로/jca
이동하고	이동/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
그러나	그러나/maj
우주선의	우주/ncn+선/xsn+의/jcm
승무원의	승무원/ncn+의/jcm
입장에서는	입장/ncn+에서/jca+는/jxc
모든	모든/mma
곳이	곳/ncn+이/jcs
정지해	정지/ncpa+하/xsv+어/ecx
있다	있/px+다/ef
.	./sf
그리고	그리고/maj
당신은	당신/npp+은/jxc
천천히	천천/ncn+히/xsa
왼쪽으로	왼쪽/ncn+으로/jca
이동한다	이동/ncpa+하/xsv+ㄴ다/ef
.	./sf
자	자/ii
여기에	여기/npd+에/jca
맨	맨/mma
처음의	처음/ncn+의/jcm
놀라움이	놀랍/paa+ㅁ/etn+이/jcs
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
다른	다르/paa+ㄴ/etm
시간	시간/ncn
점심시간이	점심/ncn+시간/ncn+이/jcc
되었다	되/pvg+었/ep+다/ef
.	./sf
사령관으로부터	사령/ncn+관/xsn+으로/jca+부터/jxc
명령이	명령/ncn+이/jcs
왔다	오/pvg+았/ep+다/ef
.	./sf
"	"/sl
점심시간	점심/ncn+시간/ncn
시작	시작/ncn
!"	!/sf+"/sr
이라는	이/jp+라/ef+는/etm
명령은	명령/ncn+은/jxc
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선	우주/ncn+선/xsn
승무원들에게	승무원/ncn+들/xsn+에게/jca
동시에	동시/ncn+에/jca
전달되었다	전달/ncpa+되/xsv+었/ep+다/ef
.	./sf
그러나	그러나/maj
우주선	우주/ncn+선/xsn
밖의	밖/ncn+의/jcm
당신의	당신/npp+의/jcm
위치에서	위치/ncn+에서/jca
보면	보/pvg+면/ecs
앞의	앞/ncn+의/jcm
우주선에	우주/ncn+선/xsn+에/jca
명령이	명령/ncn+이/jcs
전달되기	전달/ncpa+되/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
라디오파가	라디오/ncn+파/xsn+가/jcs
움직이고	움직이/pvg+고/ecx
있는	있/px+는/etm
우주선을	우주/ncn+선/xsn+을/jco
따라가야	따르/pvg+아/ecx+가/px+야/ecx
했고	하/px+었/ep+고/ecs
,	,/sp
뒤의	뒤/ncn+의/jcm
우주선에	우주/ncn+선/xsn+에/jca
전달되기	전달/ncpa+되/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
따라오고	따르/pvg+아/ecx+오/px+고/ecx
있는	있/px+는/etm
우주선의	우주/ncn+선/xsn+의/jcm
앞부분을	앞/ncn+부분/ncn+을/jco
향해	향하/pvg+어/ecs
라디오파가	라디오/ncn+파/xsn+가/jcs
전달되어야	전달/ncpa+되/xsv+어야/ecs
했다	하/px+었/ep+다/ef
.	./sf
당신은	당신/npp+은/jxc
앞과	앞/ncn+과/jcj
뒤로	뒤/ncn+로/jca
진행하는	진행/ncpa+하/xsv+는/etm
빛의	빛/ncn+의/jcm
속력이	속력/ncn+이/jcs
같다는	같/paa+다/ef+는/etm
것을	것/nbn+을/jco
측정할	측정/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
:	:/sp
변함이	변하/pvg+ㅁ/etn+이/jcs
없는	없/paa+는/etm
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
빛의	빛/ncn+의/jcm
속력	속력/ncn
.	./sf
앞의	앞/ncn+의/jcm
우주선을	우주/ncn+선/xsn+을/jco
따라가는	따르/pvg+아/ecx+가/px+는/etm
신호는	신호/ncn+는/jxc
뒤에서	뒤/ncn+에서/jca
따라오는	따르/pvg+아/ecx+오/px+는/etm
우주선에	우주/ncn+선/xsn+에/jca
전달되는	전달/ncpa+되/xsv+는/etm
신호보다	신호/ncn+보다/jca
좀더	좀더/mag
시간이	시간/ncn+이/jcs
걸릴	걸리/pvg+ㄹ/etm
것이고	것/nbn+이/jp+고/ecs
,	,/sp
우주선의	우주/ncn+선/xsn+의/jcm
승무원들은	승무원/ncn+들/xsn+은/jxc
그들에게	그/npp+들/xsn+에게/jca
전달되는	전달/ncpa+되/xsv+는/etm
신호의	신호/ncn+의/jcm
속력이	속력/ncn+이/jcs
변함없는	변하/pvg+ㅁ/etn+없/paa+는/etm
,	,/sp
같은	같/paa+은/etm
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
빛의	빛/ncn+의/jcm
속력일	속력/ncn+이/jp+ㄹ/etm
것이라	것/nbn+이/jp+라/ef
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
승무원들이	승무원/ncn+들/xsn+이/jcs
보기에	보/pvg+기/etn+에/jca
당신은	당신/npp+은/jxc
움직이고	움직이/pvg+고/ecx
있고	있/px+고/ecs
또한	또한/maj
그들과	그/npp+들/xsn+과/jcj
그들의	그/npp+들/xsn+의/jcm
우주선은	우주/ncn+선/xsn+은/jxc
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선	우주/ncn+선/xsn
사이에	사이/ncn+에/jca
사령선이	사령/ncn+선/xsn+이/jcs
위치한	위치/ncpa+하/xsv+ㄴ/etm
채	채/nbn
정지해	정지/ncpa+하/xsv+어/ecx
있다고	있/px+다/ef+고/ecs
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그렇지만	그렇지만/maj
당신은	당신/npp+은/jxc
뒤의	뒤/ncn+의/jcm
우주선에서	우주/ncn+선/xsn+에서/jca
먼저	먼저/mag
식사를	식사/ncn+를/jco
시작한다고	시작/ncpa+하/xsv+ㄴ다/ef+고/ecs
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그렇지만	그렇지만/maj
당신은	당신/npp+은/jxc
뒤의	뒤/ncn+의/jcm
우주선에서	우주/ncn+선/xsn+에서/jca
먼저	먼저/mag
식사를	식사/ncn+를/jco
시작한다고	시작/ncpa+하/xsv+ㄴ다/ef+고/ecs
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것이	이것/npd+이/jcs
바로	바로/mag
우주선에서	우주/ncn+선/xsn+에서/jca
볼	보/pvg+ㄹ/etm
때	때/ncn
동시적으로	동시/ncn+적/xsn+으로/jca
일어나는	일어나/pvg+는/etm
일이	일/ncn+이/jcs
,	,/sp
당신이	당신/npp+이/jcs
볼	보/pvg+ㄹ/etm
때는	때/ncn+는/jxc
같은	같/paa+은/etm
시각에	시각/ncn+에/jca
일어나는	일어나/pvg+는/etm
것이	것/nbn+이/jcc
아니라는	아니/paa+라/ef+는/etm
놀라운	놀랍/paa+ㄴ/etm
추론을	추론/ncn+을/jco
아인슈타인은	아인슈타인/nq+은/jxc
할	하/pvg+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없었던	없/paa+었/ep+던/etm
사고	사고/ncn
실험이었다	실험/ncn+이/jp+었/ep+다/ef
.	./sf
시간에	시간/ncn+에/jca
대한	대하/pvg+ㄴ/etm
고전적인	고전/ncn+적/xsn+이/jp+ㄴ/etm
생각은	생각/ncn+은/jxc
관찰자가	관찰/ncn+자/xsn+가/jcs
움직이든	움직이/pvg+든/ecs
,	,/sp
정지해	정지/ncpa+하/xsv+어/ecx
있든	있/px+든/ecs
공간의	공간/ncn+의/jcm
모든	모든/mma
부분에서	부분/ncn+에서/jca
동시에	동시/ncn+에/jca
같은	같/paa+은/etm
값을	값/ncn+을/jco
갖는다는	갖/pvg+는다/ef+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
그러나	그러나/maj
빛의	빛/ncn+의/jcm
속력을	속력/ncn+을/jco
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
만들기	만들/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
시간이	시간/ncn+이/jcs
공간의	공간/ncn+의/jcm
모든	모든/mma
부분에서	부분/ncn+에서/jca
같은	같/paa+은/etm
값을	값/ncn+을/jco
갖지	갖/pvg+지/ecx
않도록	않/px+도록/ecx
해야	하/px+어야/ecx
한다	하/px+ㄴ다/ef
.	./sf
빛의	빛/ncn+의/jcm
속력을	속력/ncn+을/jco
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
만들기	만들/pvg+기/etn
위해	위하/pvg+어/ecs
치뤄야	치루/pvg+어야/ecx
하는	하/px+는/etm
댓가는	댓가/ncn+는/jxc
,	,/sp
시간을	시간/ncn+을/jco
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
만들어야	만들/pvg+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
시간의	시간/ncn+의/jcm
개념은	개념/ncn+은/jxc
특수	특수/ncn
상대성	상대/ncn+성/xsn
이론에서	이론/ncn+에서/jca
가장	가장/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
새로운	새롭/paa+ㄴ/etm
생각이고	생각/ncn+이/jp+고/ecs
,	,/sp
곧	곧/maj
알게	알/pvg+게/ecx
되겠지만	되/px+겠/ep+지만/ecs
마치	마치/mag
판도라의	판도라/nq+의/jcm
상자를	상자/ncn+를/jco
여는	열/pvg+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
결과를	결과/ncn+를/jco
초래했다	초래/ncpa+하/xsv+었/ep+다/ef
.	./sf
사고실험을	사고/ncn+실험/ncn+을/jco
계속해보자	계속/ncpa+하/xsv+어/ecx+보/px+자/ef
.	./sf
점심	점심/ncn
시간이	시간/ncn+이/jcs
비동시화가	비/xp+동시/ncn+화/xsn+가/jcs
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
시간의	시간/ncn+의/jcm
가장	가장/mag
심각한	심각/ncps+하/xsm+ㄴ/etm
효과가	효과/ncn+가/jcc
아니라는	아니/paa+라/ef+는/etm
것을	것/nbn+을/jco
곧	곧/maj
알게	알/pvg+게/ecx
될	되/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
비동시적	비/xp+동시/ncn+적/xsn
운동	운동/ncn
사령선으로부터	사령/ncn+선/xsn+으로/jca+부터/jxc
또	또/mag
다른	다르/paa+ㄴ/etm
엔진을	엔진/ncn+을/jco
점화시키라는	점화/ncpa+시키/xsv+라/ef+는/etm
명령이	명령/ncn+이/jcs
왔다면	오/pvg+았/ep+다면/ecs
,	,/sp
이것은	이것/npd+은/jxc
당신에	당신/npp+에/jca
대한	대하/pvg+ㄴ/etm
상대	상대/ncn
속력을	속력/ncn+을/jco
증가시킬	증가/ncpa+시키/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
어떤	어떤/mmd
우주선이	우주/ncn+선/xsn+이/jcs
먼저	먼저/mag
가속을	가속/ncn+을/jco
시작할까	시작/ncpa+하/xsv+ㄹ까/ef
,	,/sp
아니	아니/mag
어느	어느/mmd
우주선이	우주/ncn+선/xsn+이/jcs
가속을	가속/ncn+을/jco
