<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
백제	백제/nq
온조왕	온조왕/nq
때	때/ncn
당나라에	당나라/nq+에/jca
갔던사신이	가/pvg+았/ep+더/ep+ㄴ/etm+사신/ncn+이/jcs
인삼종자를	인삼/ncn+종자/ncn+를/jco
가져온	가지/pvg+어/ecx+오/px+ㄴ/etm
것에서	것/nbn+에서/jca
비롯되었다는	비롯/ncpa+되/xsv+었/ep+다/ef+는/etm
설과	설/ncn+과/jcj
,	,/sp
지금으로부터	지금/ncn+으로/jca+부터/jxc
천	천/nnc
몇백년	몇/nnc+백/nnc+년/nbu
전에	전/ncn+에/jca
전라도	전라도/nq
지방에서	지방/ncn+에서/jca
야생	야생/ncn
인삼의	인삼/ncn+의/jcm
종자를	종자/ncn+를/jco
채취하여	채취/ncpa+하/xsv+어/ecs
재배했다는	재배/ncpa+하/xsv+었/ep+다/ef+는/etm
설이	설/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
인삼의	인삼/ncn+의/jcm
약효가	약효/ncn+가/jcs
인정되어	인정/ncpa+되/xsv+어/ecs
약재로	약재/ncn+로/jca
쓰기	쓰/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
고려	고려/nq
중엽	중엽/ncn
때이며	때/ncn+이/jp+며/ecc
조선조	조선조/nq
초기부터	초기/ncn+부터/jxc
일반에게	일반/ncn+에게/jca
널리	널리/mag
보급되었다고	보급/ncpa+되/xsv+었/ep+다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
우리나라에서는	우리/npp+나라/ncn+에서/jca+는/jxc
경기도의	경기도/nq+의/jcm
강화	강화/nq
,	,/sp
개성과	개성/nq+과/jct
함께	함께/mag
충남	충남/nq
금산이	금산/nq+이/jcs
인삼의	인삼/ncn+의/jcm
특산지로	특산/ncn+지/xsn+로/jca
손꼽히고	손꼽히/pvg+고/ecx
있다	있/px+다/ef
.	./sf
특히	특히/mag
금산은	금산/nq+은/jxc
전국	전국/ncn
인삼	인삼/ncn
거래의	거래/ncn+의/jcm
중심지인데	중심/ncn+지/xsn+이/jp+ㄴ데/ecs
,	,/sp
모든	모든/mma
인삼	인삼/ncn
거래는	거래/ncn+는/jxc
이곳을	이곳/npd+을/jco
통해야만	통하/pvg+어야/ecs+만/jxc
상품으로	상품/ncn+으로/jca
인정받을	인정/ncn+받/pvg+을/etm
수	수/nbn
있을	있/paa+을/etm
정도라고한다	정도/ncn+라고/ecs+하/pvg+ㄴ다/ef
.	./sf
금산에	금산/nq+에/jca
인삼이	인삼/ncn+이/jcs
재배되기	재배/ncpa+되/xsv+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
것은지금으로부터	것/nbn+은/jxc+지금/ncn+으로/jca+부터/jxc
수백	수백/nnc
년	년/nbu
전이라고	전/ncn+이/jp+라고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
그때	그/mmd+때/ncn
강씨	강/ncn+씨/xsn
(	(/sl
姜氏	姜氏/ncn
)	)/sr
라는	라는/etm
사람이	사람/ncn+이/jcs
산신의계시로	산신/ncn+의/jcm+계시/ncn+로/jca
금산읍에서	금산읍/nq+에서/jca
4	4/nnc
km	km/su
떨어진	떨어지/pvg+ㄴ/etm
진악산에서	진악산/nq+에서/jca
인삼을	인삼/ncn+을/jco
발견하여	발견/ncpa+하/xsv+어/ecs
보급한	보급/ncpa+하/xsv+ㄴ/etm
것이라	것/nbn+이라/jca
한다	하/pvg+ㄴ다/ef
.	./sf
금산의	금산/nq+의/jcm
5	5/nnc
일장이	일/nbu+장/ncn+이/jcs
열리는	열리/pvg+는/etm
날이면	날/ncn+이/jp+면/ecs
금산읍	금산읍/nq
중도리에	중도리/nq+에/jca
있는	있/paa+는/etm
인삼시장에는	인삼/ncn+시장/ncn+에/jca+는/jxc
산더미처럼인삼이	산더미/ncn+처럼/jca+인삼/ncn+이/jcs
쌓인다	쌓이/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
그것을	그것/npd+을/jco
사고	사/pvg+고/ecc
파는	팔/pvg+는/etm
사람들과	사람/ncn+들/xsn+과/jct
사람들과	1다르/paa+ㄴ/etm
온	오/pvg+ㄴ/etm
구경꾼들로인산인해를	구경/ncn+꾼/xsn+들/xsn+로/jca+인산인해/ncn+를/jco
이루어	이루/pvg+어/ecs
발디딜	발/ncn+디디/pvg+ㄹ/etm
틈없이	틈/ncn+없/paa+이/xsa
붐빈다	붐비/paa+ㄴ다/ef
.	./sf
게다가	게다가/maj
금산	금산/nq
읍내에는	읍내/ncn+에/jca+는/jxc
조금	조금/ncn
특별한	특별/ncps+하/xsm+ㄴ/etm
인삼	인삼/ncn
가게들이	가게/ncn+들/xsn+이/jcs
많다	많/paa+다/ef
.	./sf
이를테면	이를테면/maj
수삼을	수삼/ncn+을/jco
큰	크/paa+ㄴ/etm
솥에넣고	솥/ncn+에/jca+넣/pvg+고/ecc
푹	푹/mag
삶아낸	삶/pvg+아/ecx+내/px+ㄴ/etm
찐짜	찐짜/ncn
인삼차를	인삼/ncn+차/ncn+를/jco
파는	팔/pvg+는/etm
'	'/sl
인삼다방	인삼/ncn+다방/ncn
'	'/sr
도	도/jxc
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
이	이/mmd
고장의	고장/ncn+의/jcm
특산물인	특산/ncn+물/xsn+이/jp+ㄴ/etm
인삼을	인삼/ncn+을/jco
둘러싸고	두르/pvg+어/ecs+싸/pvg+고/ecc
갖가지	갖가지/ncn
행사가	행사/ncn+가/jcs
열리기도	열리/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
해마다	해/ncn+마다/jxc
10	10/nno
월이면	월/nbu+이/jp+면/ecs
인삼	인삼/ncn
수확에	수확/ncn+에/jca
대한	대하/pvg+ㄴ/etm
감사의	감사/ncn+의/jcm
마음과	마음/ncn+과/jcj
인삼의	인삼/ncn+의/jcm
보급	보급/ncn
등을	등/nbn+을/jco
위해	위하/pvg+어/ecs
'	'/sl
인삼	인삼/ncn
미인선발대회	미인/ncn+선발/ncn+대회/ncn
',	'/sl+,/sp
'	'/sl
인삼	인삼/ncn
심포지엄	심포지엄/ncn
'	'/sr
등이	등/nbn+이/jcs
열리며	열리/pvg+며/ecc
활쏘기	활/ncn+쏘/pvg+기/etn
,	,/sp
씨름	씨름/ncn
,	,/sp
농악	농악/ncn
,	,/sp
불꽃놀이	불꽃/ncn+놀이/ncn
,	,/sp
가장행렬	가장/ncn+행렬/ncn
,	,/sp
붓글씨	붓/ncn+글씨/ncn
대회	대회/ncn
,	,/sp
강신제	강신/ncn+제/xsn
등의	등/nbn+의/jcm
'	'/sl
인삼축제	인삼/ncn+축제/ncn
'	'/sr
가	가/jcs
벌어진다	벌어지/pvg+ㄴ다/ef
.	./sf
'	'/sl
화문석	화문석/ncn
'	'/sr
의	의/jcm
고장이기도	고장/ncn+이/jp+기/etn+도/jxc
한	하/pvg+ㄴ/etm
강화도의	강화도/nq+의/jcm
수삼과	수삼/ncn+과/jct
함께	함께/mag
부여	부여/nq
홍삼도	홍삼/ncn+도/jxc
유명하다	유명/ncps+하/xsm+다/ef
.	./sf
인삼은	인삼/ncn+은/jxc
기후와	기후/ncn+와/jcj
토질에	토질/ncn+에/jca
따라	따르/pvg+아/ecs
약효가	약효/ncn+가/jcs
크게	크/paa+게/ecs
달라진다	다르/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
인삼	인삼/ncn
중에서도	중/nbn+에서/jca+도/jxc
최고의	최고/ncn+의/jcm
약효를지닌	약효/ncn+를/jco+지니/pvg+ㄴ/etm
것이	것/nbn+이/jcs
고려인삼	고려인삼/nq
,	,/sp
즉	즉/maj
우리나라산	우리/npp+나라/ncn+산/xsn
(	(/sl
産	産/ncn
)	)/sr
인삼이다	인삼/ncn+이/jp+다/ef
.	./sf
미국이나	미국/nq+이나/jcj
캐나다	캐나다/nq
등에도	등/nbn+에/jca+도/jxc
자연산	자연/ncn+산/xsn
삼이	삼/ncn+이/jcs
자라기는	자라/pvg+기/etn+는/jxc
하지만	하/pvg+지만/ecs
그곳에서	그곳/npd+에서/jca
자란인삼은	자라/pvg+ㄴ/etm+인삼/ncn+은/jxc
무처럼	무/ncn+처럼/jca
크기만	크/paa+기/etn+만/jxc
할	하/pvg+ㄹ/etm
뿐	뿐/nbn
맛도	맛/ncn+도/jxc
쓰고	쓰/paa+고/ecc
약효는	약효/ncn+는/jxc
우리나라	우리/npp+나라/ncn
인삼의	인삼/ncn+의/jcm
십분의	십/nnc+분/nbn+의/jcm
일도안된다	일/nnc+도/jxc+안/mag+되/pvg+ㄴ다/ef
.	./sf
역시	역시/mag
토종이	토종/ncn+이/jcs
최고인	최고/ncn+이/jp+ㄴ/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
우리나라에서	우리/npp+나라/ncn+에서/jca
난	나/pvg+ㄴ/etm
인삼의	인삼/ncn+의/jcm
종자를	종자/ncn+를/jco
다른	다르/paa+ㄴ/etm
여러나라에서	여러/mma+나라/ncn+에서/jca
가져가서	가지/pvg+어/ecx+가/px+서/ecs
재배해본	재배/ncpa+하/xsv+어/ecx+보/px+ㄴ/etm
결과	결과/ncn
,	,/sp
푸짐하게	푸짐/ncps+하/xsm+게/ecs
잘	잘/mag
자라기는	자라/pvg+기/etn+는/jxc
하지만	하/pvg+지만/ecs
약효는	약효/ncn+는/jxc
별로없다는	별로/mag+없/paa+다/ef+는/etm
것이	것/nbn+이/jcs
확인되었다	확인/ncpa+되/xsv+었/ep+다/ef
.	./sf
역시	역시/mag
한	한/nnc
곳에서	곳/ncn+에서/jca
태어난	태어나/pvg+ㄴ/etm
인간과	인간/ncn+과/jcj
자연물은	자연/ncn+물/xsn+은/jxc
닮았음을	닮/pvg+았/ep+음/etn+을/jco
알	알/pvg+ㄹ/etm
수있는	수/nbn+있/paa+는/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
옛날부터	옛날/ncn+부터/jxc
최고의	최고/ncn+의/jcm
영약으로	영약/ncn+으로/jca
알려진산삼은	알리/pvg+어/ecx+지/px+ㄴ/etm+산삼/ncn+은/jxc
오갈피나무과에	오갈피나무/ncn+과/xsn+에/jca
속하는	속하/pvg+는/etm
여러해살이풀인데	여러해살이/ncn+풀/ncn+이/jp+ㄴ데/ecs
그	그/mmd
뿌리가	뿌리/ncn+가/jcs
약으로쓰인다	약/ncn+으로/jca+쓰이/pvg+ㄴ다/ef
.	./sf
깊은	깊/paa+은/etm
산	산/ncn
숲	숲/ncn
속의	속/ncn+의/jcm
그늘진	그늘/ncn+지/xsm+ㄴ/etm
곳에서	곳/ncn+에서/jca
포기포기	포기/ncn+포기/ncn
자라며	자라/pvg+며/ecc
드물게는	드물/paa+게/ecs+는/jxc
무리를	무리/ncn+를/jco
이루어자란다	이루/pvg+어/ecs+자라/pvg+ㄴ다/ef
.	./sf
이것을	이것/npd+을/jco
인간이	인간/ncn+이/jcs
심어	심/pvg+어/ecs
기른	기르/pvg+ㄴ/etm
것이	것/nbn+이/jcs
바로	바로/mag
인삼이다	인삼/ncn+이/jp+다/ef
.	./sf
이처럼	이/npd+처럼/jca
산삼의	산삼/ncn+의/jcm
재배종인	재배/ncn+종/xsn+이/jp+ㄴ/etm
인삼은	인삼/ncn+은/jxc
뿌리를	뿌리/ncn+를/jco
캐서	캐/pvg+서/ecs
물에	물/ncn+에/jca
씻어	씻/pvg+어/ecs
겉껍질을말려	겉/ncn+껍질/ncn+을/jco+말리/pvg+어/ecs
쓰기도	쓰/pvg+기/etn+도/jxc
하고	하/pvg+고/ecc
그냥	그냥/mag
먹기도	먹/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
흔히	흔히/mag
인삼이라고	인삼/ncn+이/jp+라고/ecs
하면	하/pvg+면/ecs
말린	말리/pvg+ㄴ/etm
삼	삼/ncn
(	(/sl
백삼	백삼/ncn
)	)/sr
을말하는	을/jco+말/ncpa+하/xsv+는/etm
것이지만	것/nbn+이/jp+지만/ecs
엄밀히	엄밀/ncn+히/xsa
따지면	따지/pvg+면/ecs
가공방법에	가공/ncn+방법/ncn+에/jca
따라	따르/pvg+아/ecs
수삼과	수삼/ncn+과/jcj
백삼으로	백삼/ncn+으로/jca
나눌	나누/pvg+ㄹ/etm
수있다	수/nbn+있/paa+다/ef
.	./sf
수확한	수확/ncpa+하/xsv+ㄴ/etm
것을	것/nbn+을/jco
그대로	그대로/mag
파는	팔/pvg+는/etm
것을	것/nbn+을/jco
수삼이라	수삼/ncn+이라/jca
하고	하/pvg+고/ecc
,	,/sp
껍질을	껍질/ncn+을/jco
벗겨	벗기/pvg+어/ecs
햇볕에	햇볕/ncn+에/jca
말려파는	말리/pvg+어/ecs+팔/pvg+는/etm
것을	것/nbn+을/jco
백삼이라	백삼/ncn+이라/jca
한다	하/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
쪄서	찌/pvg+어서/jca
말린	말리/pvg+ㄴ/etm
것을	것/nbn+을/jco
홍삼이라	홍삼/ncn+이라/jca
하는데	하/pvg+는데/ecs
붉은	붉/paa+은/etm
밤색을	밤색/ncn+을/jco
띠며	띠/pvg+며/ecc
,	,/sp
요즘에는	요즘/ncn+에/jca+는/jxc
전매공사에서	전매/ncn+공사/ncn+에서/jca
전담하고	전담/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
이들	이/npd+들/xsn
가공인삼은	가공/ncn+인삼/ncn+은/jxc
주로	주로/mag
5	5/nnc
~	~/sd
6	6/nnc
년근을사용한다	년/nbu+근/ncn+을/jco+사용/ncpa+하/xsv+ㄴ다/ef
.	./sf
이밖에도	이/npd+밖/ncn+에/jca+도/jxc
당삼	당삼/ncn
,	,/sp
산삼	산삼/ncn
등이	등/nbn+이/jcs
있다	있/paa+다/ef
.	./sf
모양은	모양/ncn+은/jxc
대체로	대체로/mag
백삼과	백삼/ncn+과/jct
비슷하지만	비슷/ncps+하/xsm+지만/ecs
당삼은	당삼/ncn+은/jxc
약간	약간/ncn
노란색을	노랗/paa+ㄴ/etm+색/ncn+을/jco
띤	띠/pvg+ㄴ/etm
흰색이고	흰색/ncn+이/jp+고/ecc
단맛이	단맛/ncn+이/jcs
난다	나/pvg+ㄴ다/ef
.	./sf
야생종인	야생/ncn+종/xsn+이/jp+ㄴ/etm
산삼은	산삼/ncn+은/jxc
뿌리꼭지가	뿌리/ncn+꼭지/ncn+가/jcs
가늘면서	가늘/paa+면서/ecc
긴	길/paa+ㄴ/etm
것이	것/nbn+이/jcs
특징이다	특징/ncn+이/jp+다/ef
.	./sf
인삼보다	인삼/ncn+보다/jca
약효도	약효/ncn+도/jxc
뛰어나고	뛰어나/paa+고/ecc
값도	값/ncn+도/jxc
훨씬	훨씬/mag
비싼	비싸/paa+ㄴ/etm
편이다	편/ncn+이/jp+다/ef
.	./sf
또한	또한/maj
산삼은	산삼/ncn+은/jxc
그모양에	그/mmd+모양/ncn+에/jca
따라	따르/pvg+아/ecs
값어치가	값어치/ncn+가/jcs
크게	크/paa+게/ecs
달라진다	다르/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
예로부터	예/ncn+로/jca+부터/jxc
사람의	사람/ncn+의/jcm
모양을	모양/ncn+을/jco
빼닮은	빼닮/paa+은/etm
것일수록	것/nbn+이/jp+ㄹ수록/ecs
영험이	영험/ncn+이/jcs
많은	많/paa+은/etm
것으로	것/nbn+으로/jca
알려져	알리/pvg+어/ecx+지/px+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
특히	특히/mag
여자의	여자/ncn+의/jcm
나신	나신/ncn
모습을	모습/ncn+을/jco
한	하/pvg+ㄴ/etm
동녀삼이나	동녀삼/ncn+이나/jcj
사내아이의	사내/ncn+아이/ncn+의/jcm
발가벗은	발가벗/pvg+은/etm
모습을	모습/ncn+을/jco
한	하/pvg+ㄴ/etm
동자삼을	동자삼/ncn+을/jco
최고로	최고/ncn+로/jca
친다	치/pvg+ㄴ다/ef
.	./sf
그리고	그리고/maj
오래된	오래/mag+되/xsv+ㄴ/etm
인삼일수록	인삼/ncn+이/jp+ㄹ수록/ecs
약효가	약효/ncn+가/jcs
뛰어나다	뛰어나/paa+다/ef
.	./sf
최근에	최근/ncn+에/jca
고려인삼은	고려인삼/nq+은/jxc
수출품으로	수출/ncn+품/xsn+으로/jca
외화획득에도	외화/ncn+획득/ncn+에/jca+도/jxc
이바지하고	이바지/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
인삼을	인삼/ncn+을/jco
가공한	가공/ncpa+하/xsv+ㄴ/etm
껌	껌/ncn
,	,/sp
캔디	캔디/ncn
,	,/sp
과자	과자/ncn
등이	등/nbn+이/jcs
개발되어	개발/ncpa+되/xsv+어/ecs
판매되고	판매/ncpa+되/xsv+고/ecx
있으며	있/px+으며/ecc
,	,/sp
특히	특히/mag
일본이나	일본/nq+이나/jcj
중국	중국/nq
관광객에게	관광/ncn+객/xsn+에게/jca
인기가	인기/ncn+가/jcs
높다	높/paa+다/ef
.	./sf
성분	성분/ncn
우리	우리/npp
토종	토종/ncn
인삼에는	인삼/ncn+에/jca+는/jxc
사포닌	사포닌/ncn
배당체	배당/ncn+체/xsn
(	(/sl
4	4/nnc
~	~/sd
5	5/nnc
%)	%/su+)/sr
날기름	날기름/ncn
(	(/sl
0	0/nnc
.	./sf
05	05/nnc
~	~/sd
0	0/nnc
.	./sf
25	25/nnc
%),	%/su+)/sr+,/sp
스테로이드	스테로이드/ncn
,	,/sp
탄수화물	탄수화물/ncn
,	,/sp
유리아미노산	유리아미노산/ncn
,	,/sp
비타민	비타민/ncn
,	,/sp
효소	효소/ncn
,	,/sp
기름	기름/ncn
,	,/sp
수지	수지/ncn
,	,/sp
무기물	무기물/ncn
등이	등/nbn+이/jcs
들어	들/pvg+어/ecx
있다	있/px+다/ef
.	./sf
이	이/mmd
중에서도	중/nbn+에서/jca+도/jxc
약효의	약효/ncn+의/jcm
중심이	중심/ncn+이/jcc
되는	되/pvg+는/etm
것은	것/nbn+은/jxc
사포닌	사포닌/ncn
성분이다	성분/ncn+이/jp+다/ef
.	./sf
사포닌은	사포닌/ncn+은/jxc
피부에	피부/ncn+에/jca
직접적인	직접/ncn+적/xsn+이/jp+ㄴ/etm
작용을	작용/ncn+을/jco
가하여	가하/pvg+어/ecs
세포를	세포/ncn+를/jco
부활시킨다	부활/ncpa+시키/xsv+ㄴ다/ef
.	./sf
즉	즉/maj
,	,/sp
새로운	새롭/paa+ㄴ/etm
피부	피부/ncn
세포를	세포/ncn+를/jco
자꾸	자꾸/mag
만들어	만들/pvg+어/ecs
생기있고	생기/ncn+있/paa+고/ecc
탄력있는	탄력/ncn+있/paa+는/etm
피부를	피부/ncn+를/jco
유지시켜	유지/ncpa+시키/xsv+어/ecx
주는	주/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
최근에	최근/ncn+에/jca
밝혀진	밝히/pvg+어/ecx+지/px+ㄴ/etm
것으로	것/nbn+으로/jca
다당류	다당/ncn+류/xsn
(	(/sl
多糖類	多糖類/ncn
)	)/sr
인	인/ncn
파나키산이라는	파나키산/ncn+이/jp+라는/etm
성분이	성분/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
이것은	이것/npd+은/jxc
혈당치를	혈당/ncn+치/xsn+를/jco
내리기	내리/pvg+기/etn
때문에	때문/nbn+에/jca
당뇨병에	당뇨병/ncn+에/jca
효과가	효과/ncn+가/jcs
있으며	있/paa+으며/ecc
피부의	피부/ncn+의/jcm
수분을	수분/ncn+을/jco
보호해주는	보호/ncpa+하/xsv+어/ecx+주/px+는/etm
작용을	작용/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf
이와	이/npd+와/jct
같은	같/paa+은/etm
인삼의	인삼/ncn+의/jcm
성분을	성분/ncn+을/jco
활용하여	활용/ncpa+하/xsv+어/ecs
-	-/sd
140	140/nno
-	-/sd
요즘에는	요즘/ncn+에/jca+는/jxc
여성들	여성/ncn+들/xsn
사이에서	사이/ncn+에서/jca
인삼미용법이	인삼/ncn+미용/ncn+법/ncn+이/jcs
각광을	각광/ncn+을/jco
받고	받/pvg+고/ecx
있다	있/px+다/ef
.	./sf
쓰임새	쓰임새/ncn
인삼은	인삼/ncn+은/jxc
보통	보통/ncn
대추	대추/ncn
,	,/sp
생강	생강/ncn
,	,/sp
밤	밤/ncn
등을	등/nbn+을/jco
적절히	적절/ncn+히/xsa
배합하여	배합/ncpa+하/xsv+여/ecs
달여	달이/pvg+어/ecs
마시는	마시/pvg+는/etm
것이	것/nbn+이/jcs
가장	가장/mag
무난한	무난/ncps+하/xsm+ㄴ/etm
방법이지만	방법/ncn+이/jp+지만/ecs
,	,/sp
수삼은	수삼/ncn+은/jxc
그냥	그냥/mag
날것으로먹거나	날것/ncn+으로/jca+먹/pvg+거나/ecc
꿀을	꿀/ncn+을/jco
발라서	바르/pvg+아서/ecs
먹기도	먹/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
수삼을	수삼/ncn+을/jco
썰어서	썰/pvg+어서/ecs
꿀에	꿀/ncn+에/jca
재웠다가	재우/pvg+었/ep+다가/ecs
먹는	먹/pvg+는/etm
방법은	방법/ncn+은/jxc
별로	별로/mag
좋지	좋/paa+지/ecx
않다	않/px+다/ef
.	./sf
꿀에	꿀/ncn+에/jca
잰	재/pvg+ㄴ/etm
인삼은	인삼/ncn+은/jxc
이틀	이틀/ncn
정도	정도/ncn
지나면	지나/pvg+면/ecs
일종의	일종/ncn+의/jcm
독소	독소/ncn
성분이	성분/ncn+이/jcs
발생하기	발생/ncpa+하/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
아주	아주/mag
오랜	오래/paa+ㄴ/etm
옛날부터	옛날/ncn+부터/jxc
각종	각종/ncn
의서에는	의서/ncn+에/jca+는/jxc
인삼에	인삼/ncn+에/jca
관한	관하/pvg+ㄴ/etm
기록이	기록/ncn+이/jcs
약방의	약방/ncn+의/jcm
감초보다	감초/ncn+보다/jca
더	더/mag
많이	많/paa+이/xsa
등장한다	등장/ncpa+하/xsv+ㄴ다/ef
.	./sf
그리고	그리고/maj
대부분의	대부분/ncn+의/jcm
기록에는	기록/ncn+에/jca+는/jxc
인삼이	인삼/ncn+이/jcs
신비한	신비/ncps+하/xsm+ㄴ/etm
효험을	효험/ncn+을/jco
발휘하는	발휘/ncpa+하/xsv+는/etm
영약으로	영약/ncn+으로/jca
평가되고	평가/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
그	그/mmd
중에서	중/nbn+에서/jca
몇	몇/nnc
가지	가지/nbu
예만	예/ncn+만/jxc
들어보면	들/pvg+어/ecx+보/px+면/ecs
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
{	{/sl
약용식물사전	약용식물사전/nq
}	}/sr
에는	에/jca+는/jxc
'	'/sl
인삼은	인삼/ncn+은/jxc
보혈	보혈/ncn
강장은	강장/ncn+은/jxc
물론	물론/mag
병후	병후/ncn
소약	소약/ncn
,	,/sp
정력감퇴	정력/ncn+감퇴/ncn
,	,/sp
노쇠	노쇠/ncn
,	,/sp
영양부족	영양/ncn+부족/ncn
,	,/sp
위장병	위장/ncn+병/ncn
,	,/sp
신경쇠약	신경/ncn+쇠약/ncn
,	,/sp
폐병	폐병/ncn
,	,/sp
빈혈증	빈혈/ncn+증/xsn
,	,/sp
신경통	신경통/ncn
,	,/sp
변비	변비/ncn
,	,/sp
감기	감기/ncn
등과	등/nbn+과/jcj
기타만병에	기타/ncn+만병/ncn+에/jca
뛰어난	뛰어나/paa+ㄴ/etm
효험이	효험/ncn+이/jcs
있다	있/paa+다/ef
'	'/sr
고	고/jcr
기록되어	기록/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf
{	{/sl
본초강목	본초강목/nq
}	}/sr
에는	에/jca+는/jxc
'	'/sl
인삼은	인삼/ncn+은/jxc
모든	모든/mma
허증	허증/ncn
(	(/sl
虛症	虛症/ncn
)	)/sr
과	과/jcj
현훈	현훈/ncn
,	,/sp
혈붕	혈붕/ncn
(	(/sl
血崩	血崩/ncn
),	)/sr+,/sp
토혈등을	토혈/ncn+등/nbn+을/jco
다스린다	다스리/pvg+ㄴ다/ef
'	'/sr
고	고/jcr
되어	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
그리고	그리고/maj
{	{/sl
보제방	보제방/nq
(	(/sl
普濟方	普濟方/nq
)}	)/sr+}/sr
에는	에/jca+는/jxc
'	'/sl
비위가	비위/ncn+가/jcs
약하고	약하/paa+고/ecc
식욕이	식욕/ncn+이/jcs
없을	없/paa+을/etm
때	때/ncn
생강즙과	생강/ncn+즙/ncn+과/jcj
인삼가루	인삼/ncn+가루/ncn
,	,/sp
꿀을	꿀/ncn+을/jco
넣고	넣/pvg+고/ecc
달여서	달이/pvg+어서/ecs
고약같이	고약/ncn+같/paa+이/xsa
만든	만들/pvg+ㄴ/etm
다음	다음/ncn
미음에	미음/ncn+에/jca
타서	타/pvg+서/ecs
먹으면	먹/pvg+으면/ecs
좋다	좋/paa+다/ef
'	'/sr
는	는/jxc
처방이	처방/ncn+이/jcs
나온다	나오/pvg+ㄴ다/ef
.	./sf
이밖에도	이/npd+밖/ncn+에/jca+도/jxc
지금까지	지금/ncn+까지/jxc
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
인삼의	인삼/ncn+의/jcm
효능은	효능/ncn+은/jxc
다양하다	다양/ncps+하/xsm+다/ef
.	./sf
즉	즉/maj
,	,/sp
강심작용	강심/ncn+작용/ncn
,	,/sp
건위작용	건위/ncn+작용/ncn
,	,/sp
노화예방	노화/ncn+예방/ncn
,	,/sp
간기능	간/ncn+기능/ncn
회복	회복/ncn
,	,/sp
두뇌활동	두뇌/ncn+활동/ncn
촉진	촉진/ncn
,	,/sp
조혈작용	조혈/ncn+작용/ncn
등의	등/nbn+의/jcm
효험이	효험/ncn+이/jcs
있는	있/paa+는/etm
것으로	것/nbn+으로/jca
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
인삼은	인삼/ncn+은/jxc
현대인의	현대/ncn+인/xsn+의/jcm
불치병인	불치/ncn+병/ncn+이/jp+ㄴ/etm
암을	암/ncn+을/jco
억제하는	억제/ncpa+하/xsv+는/etm
작용을	작용/ncn+을/jco
하고	하/pvg+고/ecc
고혈압	고/xp+혈압/ncn
,	,/sp
동맥경화	동맥/ncn+경화/ncn
,	,/sp
당뇨병	당뇨병/ncn
,	,/sp
스트레스	스트레스/ncn
,	,/sp
갱년기	갱년/ncn+기/xsn
장애	장애/ncn
,	,/sp
냉증	냉증/ncn
,	,/sp
알콜	알콜/ncn
중독	중독/ncn
,	,/sp
류머티즘	류머티즘/ncn
,	,/sp
알레르기	알레르기/ncn
,	,/sp
피로회복	피로/ncn+회복/ncn
,	,/sp
피부미용	피부/ncn+미용/ncn
등에도	등/nbn+에/jca+도/jxc
