
그리스	그리스/nq
받아들였기	받/pvg+아/ecs+들이/pvg+었/ep+기/etn
때문에	때문/nbn+에/jca
여러	여러/mma
가지	가지/nbu
감염에	감염/ncn+에/jca
의한	의하/pvg+ㄴ/etm
질병으로	질병/ncn+으로/jca
죽기는	죽/pvg+기/etn+는/jxc
했지만	하/pvg+었/ep+지만/ecs
적어도	적어도/mag
출혈에	출혈/ncn+에/jca
따른	따르/pvg+ㄴ/etm
위험으로부터는	위험/ncn+으로/jca+부터/jxc+는/jxc
안전하였다	안전/ncps+하/xsm+였/ep+다/ef
.	./sf

사실	사실/ncn
생명체가	생명/ncn+체/xsn+가/jcs
장내	장내/ncn
세균	세균/ncn
없이도	없/paa+이/xsa+도/jxc
살	살/pvg+ㄹ/etm
수	수/nbn
있는지	있/paa+는지/ecs
,	,/sp
또	또/maj
이와	이/npd+와/jct
같은	같/paa+은/etm
공생	공생/ncn
체계를	체계/ncn+를/jco
없애	없애/pvg+어/ecx
버리기에는	버리/px+기/etn+에/jca+는/jxc
너무	너무/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
것인지는	것/nbn+이/jp+ㄴ지/ecs+는/jxc
잘	잘/mag
모른다	모르/pvg+ㄴ다/ef
.	./sf

하지만	하지만/maj
세균이	세균/ncn+이/jcs
전혀	전혀/mag
없는	없/paa+는/etm
동물이	동물/ncn+이/jcs
완전히	완전/ncn+히/xsa
멸균된	멸균/ncpa+되/xsv+ㄴ/etm
상태에서	상태/ncn+에서/jca
태어나고	태어나/pvg+고/ecc
자랄	자라/pvg+ㄹ/etm
수	수/nbn
있었고	있/paa+었/ep+고/ecc
증식할	증식/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf

1930	1930/nno
년대	년대/nbu
후반에서	후반/ncn+에서/jca
1940	1940/nno
년대	년대/nbu
초반까지	초반/ncn+까지/jxc
생화학자들은	생화학/ncn+자/xsn+들/xsn+은/jxc
몇	몇/mma
종류의	종류/ncn+의/jcm
비타민	비타민/ncn
B	B/f
군을	군/xsn+을/jco
더	더/mag
밝혀냈는데	밝히/pvg+어/ecx+내/px+었/ep+는데/ecs
비오틴과	비오틴/ncn+과/jcj
판토텐사	판토텐사/ncn
,	,/sp
피리독신	피리독신/ncn
,	,/sp
엽산	엽산/ncn
,	,/sp
시아노코발라민	시아노코발라민/ncn
등이	등/nbn+이/jcs
그것이다	그것/npd+이/jp+다/ef
.	./sf

비타민	비타민/ncn
치료법	치료/ncn+법/ncn
여러	여러/mma
종류의	종류/ncn+의/jcm
비타민에	비타민/ncn+에/jca
대한	대하/pvg+ㄴ/etm
구조가	구조/ncn+가/jcs
알려지면	알리/pvg+어/ecx+지/px+면/ecs
곧이어	곧이어/maj
(	(/sl
어떤	어떤/mmd
때는	때/ncn+는/jxc
구조가	구조/ncn+가/jcs
알려지기도	알리/pvg+어/ecx+지/px+기/etn+도/jxc
전에	전/ncn+에/jca
)	)/sr
비타민을	비타민/ncn+을/jco
합성하게	합성/ncpa+하/xsv+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

예를	예/ncn+를/jco
들면	들/pvg+면/ecs
윌리엄스와	윌리엄스/nq+와/jct
그의	그/npp+의/jcm
연구진은	연구/ncn+진/xsn+은/jxc
티아민의	티아민/ncn+의/jcm
구조를	구조/ncn+를/jco
생각해낸	생각/ncpa+하/xsv+어/ecx+내/px+ㄴ/etm
3	3/nnc
년	년/nbu
뒤인	뒤/ncn+이/jp+ㄴ/etm
1937	1937/nno
년	년/nbu
티아민을	티아민/ncn+을/jco
합성하였다	합성/ncpa+하/xsv+였/ep+다/ef
.	./sf

또	또/maj
다른	다르/paa+ㄴ/etm
예로	예/ncn+로/jca
비타민	비타민/ncn
A	A/f
는	는/jxc
두	두/nnc
연구진에	연구/ncn+진/xsn+에/jca
의해	의하/pvg+어/ecs
1936	1936/nno
년	년/nbu
합성되었다	합성/ncpa+되/xsv+었/ep+다/ef
(	(/sl
이	이/mmd
연구도	연구/ncn+도/jxc
구조가	구조/ncn+가/jcs
완전히	완전/ncn+히/xsa
결정되기	결정/ncpa+되/xsv+기/etn
전에	전/ncn+에/jca
이루어졌다	이루/pvg+어/ecx+지/px+었/ep+다/ef
).	)/sr+./sf

합성	합성/ncn
비타민은	비타민/ncn+은/jxc
음식물	음식/ncn+물/xsn
첨가에	첨가/ncn+에/jca
사용되었고	사용/ncpa+되/xsv+었/ep+고/ecc
(	(/sl
우유에	우유/ncn+에/jca
비타민이	비타민/ncn+이/jcs
첨가된	첨가/ncpa+되/xsv+ㄴ/etm
것은	것/nbn+은/jxc
1924	1924/nno
년이다	년/nbu+이/jp+다/ef
)	)/sr
적당한	적당/ncps+하/xsm+ㄴ/etm
가격의	가격/ncn+의/jcm
비타민	비타민/ncn
복합체를	복합/ncn+체/xsn+를/jco
만들어	만들/pvg+어/ecs
약국에서	약국/ncn+에서/jca
팔	팔/pvg+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

겨울에	겨울/ncn+에/jca
태양이	태양/ncn+이/jcs
약해지는	약하/pvg+어/ecx+지/px+는/etm
북쪽	북쪽/ncn
지방	지방/ncn
어린이들은	어린이/ncn+들/xsn+은/jxc
구루병의	구루병/ncn+의/jcm
위험이	위험/ncn+이/jcs
있으므로	있/paa+으므로/ecs
태양빛을	태양/ncn+빛/ncn+을/jco
쪼인	쪼이/pvg+ㄴ/etm
음식물이나	음식/ncn+물/xsn+이나/jcj
비타민의	비타민/ncn+의/jcm
보충이	보충/ncn+이/jcs
필요하였다	필요/ncps+하/xsm+였/ep+다/ef
.	./sf

그러나	그러나/maj
비타민	비타민/ncn
A	A/f
나	나/jcj
D	D/f
는	는/jxc
지나칠	지나치/pvg+ㄹ/etm
경우	경우/ncn
몸에	몸/ncn+에/jca
해롭기	해롭/paa+기/etn
때문에	때문/nbn+에/jca
용량을	용량/ncn+을/jco
조심스럽게	조심/ncps+스럽/xsm+게/ecc
조절해야만	조절/ncpa+하/xsv+어야/ecs+만/jxc
한다	하/pvg+ㄴ다/ef
.	./sf

비타민	비타민/ncn
C	C/f
역시	역시/mag
문제가	문제/ncn+가/jcc
되는	되/pvg+는/etm
경우는	경우/ncn+는/jxc
별로	별로/mag
없는데	없/paa+는데/ecs
왜냐하면	왜냐하면/maj
오렌지	오렌지/ncn
주스를	주스/ncn+를/jco
싫어하는	싫/paa+어/ecx+하/px+는/etm
사람은	사람/ncn+은/jxc
거의	거의/mag
없으며	없/paa+으며/ecs
또	또/maj
비타민	비타민/ncn
C	C/f
를	를/jco
먹는다는	먹/pvg+는다/ef+는/etm
생각으로	생각/ncn+으로/jca
오렌지	오렌지/ncn
주스를	주스/ncn+를/jco
주기적으로	주기/ncn+적/xsn+으로/jca
먹지는	먹/pvg+지/ecx+는/jxc
않기	않/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

전체적으로	전체/ncn+적/xsn+으로/jca
비타민	비타민/ncn
제제의	제제/ncn+의/jcm
판매는	판매/ncn+는/jxc
약국의	약국/ncn+의/jcm
이익이	이익/ncn+이/jcc
되기도	되/pvg+기/etn+도/jxc
하지만	하/pvg+지만/ecs
사람에게도	사람/ncn+에게/jca+도/jxc
거의	거의/mag
해가	해/ncn+가/jcs
없으며	없/paa+으며/ecs
,	,/sp
부분적으로는	부분/ncn+적/xsn+으로/jca+는/jxc
현대의	현대/ncn+의/jcm
미국인이	미국/nq+인/xsn+이/jcs
앞	앞/ncn
세대의	세대/ncn+의/jcm
미국인보다	미국/nq+인/xsn+보다/jca
크고	크/paa+고/ecc
몸무게를	몸무게/ncn+를/jco
증가시키는	증가/ncpa+시키/xsv+는/etm
데	데/nbn
기여하기도	기여/ncpa+하/xsv+기/etn+도/jxc
했다	하/pvg+었/ep+다/ef
.	./sf

부족	부족/ncn
증상을	증상/ncn+을/jco
없애는	없애/pvg+는/etm
데	데/nbn
충분한	충분/ncps+하/xsm+ㄴ/etm
최소량의	최소/ncn+량/ncn+의/jcm
비타민은	비타민/ncn+은/jxc
신체의	신체/ncn+의/jcm
적절한	적절/ncps+하/xsm+ㄴ/etm
작용에	작용/ncn+에/jca
충분하지도	충분/ncps+하/xsm+지/ecx+도/jxc
않고	않/px+고/ecc
다른	다르/paa+ㄴ/etm
질병의	질병/ncn+의/jcm
치료에도	치료/ncn+에/jca+도/jxc
충분하지	충분/ncps+하/xsm+지/ecx
않다는	않/px+다/ef+는/etm
제안이	제안/ncn+이/jcs
있었다	있/paa+었/ep+다/ef
.	./sf

예를	예/ncn+를/jco
들면	들/pvg+면/ecs
다량의	다량/ncn+의/jcm
비타민	비타민/ncn
B	B/f
사용이	사용/ncn+이/jcs
정신	정신/ncn
분열	분열/ncn
증상의	증상/ncn+의/jcm
개선에	개선/ncn+에/jca
도움이	도움/ncn+이/jcc
된다는	되/pvg+ㄴ다/ef+는/etm
제안도	제안/ncn+도/jxc
있었다	있/paa+었/ep+다/ef
.	./sf

비타민	비타민/ncn
대량	대량/ncn
투여	투여/ncn
요법의	요법/ncn+의/jcm
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
예로는	예/ncn+로/jca+는/jxc
,	,/sp
1970	1970/nno
년	년/nbu
폴링이	폴링/nq+이/jcs
날마다	날/ncn+마다/jxc
다량의	다량/ncn+의/jcm
비타민	비타민/ncn
C	C/f
를	를/jco
복용하면	복용/ncpa+하/xsv+면/ecs
감기를	감기/ncn+를/jco
예방하고	예방/ncpa+하/xsv+고/ecc
건강에	건강/ncn+에/jca
이롭다고	이롭/paa+다/ef+고/jcr
발표한	발표/ncpa+하/xsv+ㄴ/etm
것을	것/nbn+을/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

그러나	그러나/maj
일반	일반/ncn
대중은	대중/ncn+은/jxc
대부분	대부분/ncn
비타민의	비타민/ncn+의/jcm
긍정적인	긍정/ncn+적/xsn+이/jp+ㄴ/etm
효과를	효과/ncn+를/jco
생각하기	생각/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
(	(/sl
특히	특히/mag
즉시	즉시/ncn
사용할	사용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
값이	값/ncn+이/jcs
싸기	싸/paa+기/etn
때문에	때문/nbn+에/jca
)	)/sr
약국에서	약국/ncn+에서/jca
비타민	비타민/ncn
C	C/f
를	를/jco
사다가	사/pvg+다가/ecs
열심히	열심/ncn+히/xsa
먹었다	먹/pvg+었/ep+다/ef
.	./sf

비타민	비타민/ncn
B	B/f
복합체나	복합/ncn+체/xsn+나/jcj
C	C/f
같은	같/paa+은/etm
수용성	수용/ncn+성/xsn
비타민은	비타민/ncn+은/jxc
충분량	충분/ncn+량/ncn
이상으로	이상/ncn+으로/jca
섭취하여도	섭취/ncpa+하/xsv+어도/ecs
체내에서	체내/ncn+에서/jca
저장되지	저장/ncpa+되/xsv+지/ecx
않고	않/px+고/ecc
쉽게	쉽/paa+게/ecc
배설되기	배설/ncpa+되/xsv+기/etn
때문에	때문/nbn+에/jca
나쁜	나쁘/paa+ㄴ/etm
효과를	효과/ncn+를/jco
주지는	주/pvg+지/ecx+는/jxc
않는	않/px+는/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf

따라서	따라서/maj
신체에서	신체/ncn+에서/jca
많은	많/paa+은/etm
양이	양/ncn+이/jcs
필요하지	필요/ncps+하/xsm+지/ecx
않다면	않/px+다/ef+면/ecs
과량의	과량/ncn+의/jcm
비타민	비타민/ncn
C	C/f
는	는/jxc
오줌으로	오줌/ncn+으로/jca
배설된다	배설/ncpa+되/xsv+ㄴ다/ef
.	./sf

이것들은	이것/npd+들/xsn+은/jxc
몸의	몸/ncn+의/jcm
지방에	지방/ncn+에/jca
녹아	녹/pvg+아/ecs
체내에	체내/ncn+에/jca
저장되고	저장/ncpa+되/xsv+고/ecc
비교적	비교/ncn+적/xsn
이동하지	이동/ncpa+하/xsv+지/ecx
않기	않/px+기/etn
때문에	때문/nbn+에/jca
지방처럼	지방/ncn+처럼/jca
되어	되/pvg+어/ecx
버린다	버리/px+ㄴ다/ef
.	./sf

따라서	따라서/maj
지나친	지나치/pvg+ㄴ/etm
섭취는	섭취/ncn+는/jxc
신체에	신체/ncn+에/jca
부담을	부담/ncn+을/jco
주고	주/pvg+고/ecc
작용을	작용/ncn+을/jco
방해하며	방해/ncpa+하/xsv+며/ecc
비타민	비타민/ncn
과다증을	과다/ncn+증/xsn+을/jco
일으킨다	일으키/pvg+ㄴ다/ef
.	./sf

비타민	비타민/ncn
A	A/f
는	는/jxc
간에	간/ncn+에/jca
저장되므로	저장/ncpa+되/xsv+므로/ecs
물고기를	물고기/ncn+를/jco
먹는	먹/pvg+는/etm
동물이나	동물/ncn+이나/jcj
어류의	어류/ncn+의/jcm
간에	간/ncn+에/jca
많이	많/paa+이/xsa
저장되어	저장/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf

그래서	그래서/maj
극	극/ncn
지방을	지방/ncn+을/jco
탐험하는	탐험/ncpa+하/xsv+는/etm
사람들이	사람/ncn+들/xsn+이/jcs
북극곰의	북극곰/ncn+의/jcm
간을	간/ncn+을/jco
먹고	먹/pvg+고/ecc
심하게	심하/paa+게/ecc
앓거나	앓/pvg+거나/ecc
죽기까지	죽/pvg+기/etn+까지/jxc
했다는	하/pvg+었/ep+다/ef+는/etm
이야기도	이야기/ncn+도/jxc
있다	있/paa+다/ef
.	./sf

효소로서의	효소/ncn+로서/jca+의/jcm
비타민	비타민/ncn
자연히	자연/ncn+히/xsa
생화학자들은	생화학/ncn+자/xsn+들/xsn+은/jxc
체내에	체내/ncn+에/jca
극미량밖에	극미/ncn+량/ncn+밖에/jxc
없는	없/paa+는/etm
비타민이	비타민/ncn+이/jcs
어떻게	어떻/pad+게/ecx
신체	신체/ncn
작용에	작용/ncn+에/jca
중요한	중요/ncps+하/xsm+ㄴ/etm
영향을	영향/ncn+을/jco
미치는가에	미치/pvg+는가/ef+에/jca
대해	대하/pvg+어/ecs
관심을	관심/ncn+을/jco
갖게	갖/pvg+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

단백질을	단백질/ncn+을/jco
연구하는	연구/ncpa+하/xsv+는/etm
화학자들은	화학/ncn+자/xsn+들/xsn+은/jxc
오래	오래/mag
전부터	전/ncn+부터/jxc
몇	몇/mma
종류의	종류/ncn+의/jcm
단백질은	단백질/ncn+은/jxc
헤모글로빈처럼	헤모글로빈/ncn+처럼/jca
아미노산으로만	아미노산/ncn+으로/jca+만/jxc
이루어지지	이루/pvg+어/ecx+지/px+지/ecx
않고	않/px+고/ecc
아미노산이	아미노산/ncn+이/jcc
아닌	아니/paa+ㄴ/etm
비단백질	비/xp+단백질/ncn
부분이	부분/ncn+이/jcs
있음을	있/paa+음/etn+을/jco
알고	알/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

그러나	그러나/maj
효소는	효소/ncn+는/jxc
아미노산이	아미노산/ncn+이/jcc
아닌	아니/paa+ㄴ/etm
매우	매우/mag
느슨하게	느슨/ncps+하/xsm+게/ecs
결합된	결합/ncpa+되/xsv+ㄴ/etm
부분이	부분/ncn+이/jcs
있어	있/paa+어/ecs
쉽게	쉽/paa+게/ecc
제거될	제거/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

이러한	이러하/pad+ㄴ/etm
사실은	사실/ncn+은/jxc
1904	1904/nno
년	년/nbu
하든	하든/nq
(	(/sl
그는	그/npp+는/jxc
인을	인/ncn+을/jco
포함하는	포함/ncpa+하/xsv+는/etm
중간	중간/ncn
물질을	물질/ncn+을/jco
발견하기도	발견/ncpa+하/xsv+기/etn+도/jxc
했다	하/pvg+었/ep+다/ef
)	)/sr
에	에/jca
의해	의하/pvg+어/ecs
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

그는	그/npp+는/jxc
이	이/mmd
물질을	물질/ncn+을/jco
반투막으로	반투막/ncn+으로/jca
만든	만들/pvg+ㄴ/etm
주머니에	주머니/ncn+에/jca
넣어	넣/pvg+어/ecs
물에	물/ncn+에/jca
담갔다	담그/pvg+았/ep+다/ef
.	./sf

작은	작/paa+은/etm
분자는	분자/ncn+는/jxc
이	이/mmd
막을	막/ncn+을/jco
투과하지만	투과/ncpa+하/xsv+지만/ecs
커다란	커다랗/paa+ㄴ/etm
단백질	단백질/ncn
분자는	분자/ncn+는/jxc
투과하지	투과/ncpa+하/xsv+지/ecx
못한다	못하/px+ㄴ다/ef
.	./sf

그러나	그러나/maj
이	이/mmd
두	두/nnc
용액을	용액/ncn+을/jco
합치면	합치/pvg+면/ecs
다시	다시/mag
활성이	활성/ncn+이/jcs
생겼다	생기/pvg+었/ep+다/ef
.	./sf

확실히	확실/ncn+히/xsa
효소에는	효소/ncn+에/jca+는/jxc
커다란	커다랗/paa+ㄴ/etm
단백질	단백질/ncn
분자뿐만	분자/ncn+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
막을	막/ncn+을/jco
투과할	투과/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
정도로	정도/ncn+로/jca
작은	작/paa+은/etm
조효소	조효소/ncn
분자도	분자/ncn+도/jxc
있었다	있/paa+었/ep+다/ef
.	./sf

하든에	하든/nq+에/jca
의해	의하/pvg+어/ecs
연구된	연구/ncpa+되/xsv+ㄴ/etm
효모	효모/ncn
효소의	효소/ncn+의/jcm
조효소는	조효소/ncn+는/jxc
아데닌	아데닌/ncn
1	1/nnc
분자와	분자/ncn+와/jcj
리보오스	리보오스/ncn
2	2/nnc
분자	분자/ncn
,	,/sp
2	2/nnc
개의	개/nbu+의/jcm
인산기를	인산기/ncn+를/jco
가진	가지/pvg+ㄴ/etm
니코틴아미드임이	니코틴아미드/ncn+이/jp+ㅁ/etn+이/jcs
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

니코틴산은	니코틴/ncn+산/ncn+은/jxc
담배에	담배/ncn+에/jca
있는	있/paa+는/etm
알칼로이드의	알칼로이드/ncn+의/jcm
일종인	일종/ncn+이/jp+ㄴ/etm
니코틴과	니코틴/ncn+과/jct
구조가	구조/ncn+가/jcs
비슷하지만	비슷/ncps+하/xsm+지만/ecs
성질은	성질/ncn+은/jxc
매우	매우/mag
다르다	다르/paa+다/ef
.	./sf

하든이	하든/nq+이/jcs
이	이/mmd
조효소의	조효소/ncn+의/jcm
구조를	구조/ncn+를/jco
밝히자	밝히/pvg+자/ecs
이	이/mmd
이름은	이름/ncn+은/jxc
즉시	즉시/ncn
DPN	DPN/f
(	(/sl
이인산	이인산/ncn
피리딘	피리딘/ncn
뉴클레오티드	뉴클레오티드/ncn
)	)/sr
으로	으로/jca
바뀌었다	바뀌/pvg+었/ep+다/ef
.	./sf

그	그/mmd
이유는	이유/ncn+는/jxc
아데닌과	아데닌/ncn+과/jcj
리보오스	리보오스/ncn
,	,/sp
인산의	인산/ncn+의/jcm
배열이	배열/ncn+이/jcs
핵산과	핵산/ncn+과/jct
비슷하고	비슷/ncps+하/xsm+고/ecc
니코틴아미드의	니코틴아미드/ncn+의/jcm
고리	고리/ncn
구조를	구조/ncn+를/jco
이루는	이루/pvg+는/etm
원자	원자/ncn
배열	배열/ncn
때문이었다	때문/nbn+이/jp+었/ep+다/ef
.	./sf

곧이어	곧이어/maj
인산이	인산/ncn+이/jcs
2	2/nnc
개인	개/nbu+이/jp+ㄴ/etm
DPN	DPN/f
과	과/jct
비슷하고	비슷/ncps+하/xsm+고/ecc
인산기가	인산기/ncn+가/jcs
3	3/nnc
개라는	개/nbu+라/ef+는/etm
것만	것/nbn+만/jxc
다른	다르/paa+ㄴ/etm
조효소가	조효소/ncn+가/jcs
발견되었다	발견/ncpa+되/xsv+었/ep+다/ef
.	./sf

DPN	DPN/f
과	과/jcj
TPN	TPN/f
은	은/jxc
모두	모두/mag
체내에서	체내/ncn+에서/jca
수소를	수소/ncn+를/jco
한	한/nnc
분자에서	분자/ncn+에서/jca
다른	다르/paa+ㄴ/etm
분자로	분자/ncn+로/jca
운반하는	운반/ncpa+하/xsv+는/etm
수많은	수많/paa+은/etm
효소의	효소/ncn+의/jcm
조효소임이	조효소/ncn+이/jp+ㅁ/etn+이/jcs
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
(	(/sl
이러한	이러하/pad+ㄴ/etm
효소를	효소/ncn+를/jco
'	'/sl
탈수소	탈/xp+수소/ncn
효소	효소/ncn
'	'/sr
라	라/jcr
부른다	부르/pvg+ㄴ다/ef
).	)/sr+./sf

둘	둘/nnc
가운데	가운데/ncn
하나가	하나/nnc+가/jcs
부족하면	부족/ncps+하/xsm+면/ecs
수소	수소/ncn
전달을	전달/ncn+을/jco
통해	통하/pvg+어/ecs
음식물로부터	음식/ncn+물/xsn+로/jca+부터/jxc
에너지를	에너지/ncn+를/jco
얻는	얻/pvg+는/etm
과정이	과정/ncn+이/jcs
느려지게	느리/paa+어/ecx+지/px+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

따라서	따라서/maj
신체는	신체/ncn+는/jxc
이미	이미/mag
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
(	(/sl
아니면	아니/paa+면/ecs
적어도	적어도/mag
니코틴산의	니코틴/ncn+산/ncn+의/jcm
형태인	형태/ncn+이/jp+ㄴ/etm
)	)/sr
것을	것/nbn+을/jco
음식물에서	음식/ncn+물/xsn+에서/jca
찾아야만	찾/pvg+아야/ecx+만/jxc
된다	되/pvg+ㄴ다/ef
.	./sf

그렇지	그렇/pad+지/ecx
않으면	않/px+으면/ecs
DPN	DPN/f
과	과/jcj
TPN	TPN/f
의	의/jcm
형성이	형성/ncn+이/jcs
중단되어	중단/ncpa+되/xsv+어/ecs
이들이	이/npd+들/xsn+이/jcs
조절하는	조절/ncpa+하/xsv+는/etm
모든	모든/mma
수소의	수소/ncn+의/jcm
운반이	운반/ncn+이/jcs
저하된다	저하/ncpa+되/xsv+ㄴ다/ef
.	./sf

그러나	그러나/maj
니코틴산이	니코틴/ncn+산/ncn+이/jcs
조효소에	조효소/ncn+에/jca
연결되어	연결/ncpa+되/xsv+어/ecc
강력한	강력/ncps+하/xsm+ㄴ/etm
역할을	역할/ncn+을/jco
한다는	하/pvg+ㄴ다/ef+는/etm
것이	것/nbn+이/jcs
밝혀지자	밝히/pvg+어/ecx+지/px+자/ecs
위스콘신	nq[위스콘신/nq
대학의	대학/ncn]nq+의/jcm
생화학자	생화학/ncn+자/xsn
엘베흄과	엘베흄/nq+과/jcj
그의	그/npp+의/jcm
동료들은	동료/ncn+들/xsn+은/jxc
다른	다르/paa+ㄴ/etm
결핍증에	결핍/ncn+증/xsn+에/jca
이를	이/npd+를/jco
사용해	사용/ncpa+하/xsv+어/ecx
보았다	보/px+았/ep+다/ef
.	./sf

펠라그라의	펠라그라/ncn+의/jcm
가장	가장/mag
특징적인	특징/ncn+적/xsn+이/jp+ㄴ/etm
증상은	증상/ncn+은/jxc
피부가	피부/ncn+가/jcs
말라	마르/pvg+아/ecs
벗겨지고	벗기/pvg+어/ecx+지/px+고/ecc
설사가	설사/ncn+가/jcs
나며	나/pvg+며/ecc
혓바닥에	혓바닥/ncn+에/jca
염증이	염증/ncn+이/jcs
생기는	생기/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

골드버그는	골드버그/nq+는/jxc
이	이/mmd
질병이	질병/ncn+이/jcs
옥수수	옥수수/ncn
등만을	등/nbn+만/jxc+을/jco
먹고	먹/pvg+고/ecc
사는	살/pvg+는/etm
사람들과	사람/ncn+들/xsn+과/jct
젖소가	젖소/ncn+가/jcs
없는	없/paa+는/etm
집안에서	집안/ncn+에서/jca
발병하는	발병/ncpa+하/xsv+는/etm
데	데/nbn
관심을	관심/ncn+을/jco
가졌다	가지/pvg+었/ep+다/ef
.	./sf

그는	그/npp+는/jxc
인공적인	인공/ncn+적/xsn+이/jp+ㄴ/etm
음식물을	음식/ncn+물/xsn+을/jco
준비하여	준비/ncpa+하/xsv+어/ecs
동물	동물/ncn
및	및/maj
펠라그라가	펠라그라/ncn+가/jcs
잘	잘/mag
발생할	발생/ncpa+하/xsv+ㄹ/etm
것	것/nbn
같은	같/paa+은/etm
곳의	곳/ncn+의/jcm
수감자들을	수감/ncn+자/xsn+들/xsn+을/jco
상대로	상대/ncn+로/jca
실험하였다	실험/ncpa+하/xsv+였/ep+다/ef
.	./sf

그는	그/npp+는/jxc
개의	개/ncn+의/jcm
펠라그라인	펠라그라/ncn+이/jp+ㄴ/etm
'	'/sl
흑색혀	흑색혀/ncn
'	'/sl
병을	병/ncn+을/jco
발생하게	발생/ncpa+하/xsv+게/ecx
하여	하/px+어/ecs
효모의	효모/ncn+의/jcm
추출액으로	추출/ncn+액/ncn+으로/jca
이	이/mmd
병을	병/ncn+을/jco
치료하였다	치료/ncpa+하/xsv+였/ep+다/ef
.	./sf

'	'/sl
흑색혀	흑색혀/ncn
'	'/sl
병을	병/ncn+을/jco
앓고	앓/pvg+고/ecx
있는	있/px+는/etm
개에게	개/ncn+에게/jca
이	이/mmd
물질을	물질/ncn+을/jco
먹였더니	먹이/pvg+였/ep+더니/ecs
괄목할	괄목/ncpa+하/xsv+ㄹ/etm
만한	만하/px+ㄴ/etm
효과가	효과/ncn+가/jcs
있었다	있/paa+었/ep+다/ef
.	./sf

미국	nq미국/nq
의사	의사/ncn
협회는	협회/ncn]nq+는/jxc
사람들이	사람/ncn+들/xsn+이/jcs
담배에	담배/ncn+에/jca
비타민이	비타민/ncn+이/jcs
있는	있/paa+는/etm
것처럼	것/nbn+처럼/jca
잘못	잘못/mag
생각할	생각/ncpa+하/xsv+ㄹ/etm
것을	것/nbn+을/jco
염려하여	염려/ncpa+하/xsv+어/ecs
이	이/mmd
비타민을	비타민/ncn+을/jco
니코틴산이라	니코틴/ncn+산/ncn+이/jp+라/ef
하지	하/pvg+지/ecx
말고	말/px+고/ecc
니코틴산의	니코틴/ncn+산/ncn+의/jcm
약어인	약어/ncn+이/jp+ㄴ/etm
'	'/sl
니아신	니아신/ncn
'	'/sl
이나	이나/jcj
'	'/sl
니아신아미드	니아신아미드/ncn
'	'/sr
로	로/jca
부르자고	부르/pvg+자/ef+고/jcr
제안하였다	제안/ncpa+하/xsv+였/ep+다/ef
.	./sf

오스트리아의	오스트리아/nq+의/jcm
화학자	화학/ncn+자/xsn
쿤과	쿤/nq+과/jct
그의	그/npp+의/jcm
동료들은	동료/ncn+들/xsn+은/jxc
곧이어	곧이어/maj
비타민	비타민/ncn
B2	B/f+2/nno
