<tdmsfile>
<tdmsfile>
mbc.hwp
"지옥	"/sl+지옥/ncn
사위가	사위/ncn+가/jcs
제기한	제기/ncpa+하/xsv+ㄴ/etm
시험	시험/ncn
등기신청에	등기/ncn+신청/ncn+에/jca
대해서	대하/pvg+어서/ecs
등기소가	등기/ncn+소/xsn+가/jcs
사위편에	사위/ncn+편/ncn+에/jca
상속권이	상속/ncn+권/xsn+이/jcs
있다.	있/paa+다/ef+./sf
~	~/sd
이런	이런/mmd
결정권을	결정/ncn+권/xsn+을/jco
내렸습니다.	내리/pvg+었/ep+습니다/ef+./sf
그렇지만	그렇지만/maj
이	이/mmd
회장의	회장/ncn+의/jcm
형제들은	형제/ncn+들/xsn+은/jxc
법정에서	법정/ncn+에서/jca
상속권을	상속/ncn+권/xsn+을/jco
가리겠다는	가리/pvg+겠/ep+다/ef+는/etm
입장입니다.	입장/ncn+이/jp+ㅂ니다/ef+./sf
민병우	민병우/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
대한항공기	대한항공/nq+기/xsn
괌	괌/nq
추락사고로	추락/ncn+사고/ncn+로/jca
숨진	숨/ncn+지/pvg+ㄴ/etm
이성철	이성철/nq
전	전/mma
제일상호	nq[제일/nq+상호/ncn
신용금고	신용/ncn+금고/ncn]nq
회장의	회장/ncn+의/jcm
집은	집/ncn+은/jxc
사위	사위/ncn
김모씨에게	김/nq+모/ncn+씨/xsn+에게/jca
상속되어야	상속/ncpa+되/xsv+어야/ecs
한다고	하/px+ㄴ다/ef+고/jcr
서울	nq[서울/nq
강서	강서/nq
등기소가	등기/ncn+소/xsn]nq+가/jcs
오늘	오늘/ncn
결정했습니다	결정/ncpa+하/xsv+었/ep+습니다/ef+./sf
이	이/nq
회장과	회장/ncn+과/jcj
직계	직계/ncn
가족인	가족/ncn+이/jp+ㄴ/etm
아들	아들/ncn
손자	손자/ncn
등이	등/nbn+이/jcs
동시에	동시/ncn+에/jca
사망한	사망/ncpa+하/xsv+ㄴ/etm
만큼	만큼/nbn
민법상	민법/ncn+상/xsn
세습	세습/ncn
상속	상속/ncn
규정에	규정/ncn+에/jca
따라	따르/pvg+아/ecs
사위에게	사위/ncn+에게/jca
상속권이	상속/ncn+권/xsn+이/jcs
있다는	있/paa+다/ef+는/etm
게	것/nbn+이/jcs
등기소의	등기/ncn+소/xsn+의/jcm
판단입니다.	판단/ncn+이/jp+ㅂ니다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
이	이/nq
회장	회장/ncn
형제들이	형제/ncn+들/xsn+이/jcs
낸	내/pvg+ㄴ/etm
상속	상속/ncn
등기	등기/ncn
신청은	신청/ncn+은/jxc
각하되고	각하/ncpa+되/xsv+고/ecc
사위	사위/ncn
등기	등기/ncn
신청이	신청/ncn+이/jcs
받아들여졌습니다.	받/pvg+아/ecs+들이/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
반면,	반면/maj+,/sp
사위	사위/ncn
김씨	김/nq+씨/xsn
측은	측/nbn+은/jxc
등기소	등기/ncn+소/xsn
측이	측/nbn+이/jcs
이번	이/mmd+번/nbn
결정을	결정/ncn+을/jco
내리기	내리/pvg+기/etn
전에	전/ncn+에/jca
법원에	법원/nq+에/jca
의견	의견/ncn
조회를	조회/ncn+를/jco
했을	하/pvg+었/ep+을/etm
것이고	것/nbn+이/jp+고/ecc
따라서	따라서/maj
법원도	법원/ncn+도/jxc
등기소와	등기/ncn+소/xsn+와/jct
같은	같/paa+은/etm
결정을	결정/ncn+을/jco
내릴	내리/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
기대합니다.	기대/ncpa+하/xsv+ㅂ니다/ef+./sf
이에	이/npd+에/jca
앞서	앞서/mag
이	이/nq
회장의	회장/ncn+의/jcm
형제들과	형제/ncn+들/xsn+과/jcj
사위	사위/ncn
김씨는	김/nq+씨/xsn+는/jxc
지난	지나/pvg+ㄴ/etm
8일	8/nno+일/nbu
이	이/nq
회장이	회장/ncn+이/jcs
남긴	남기/pvg+ㄴ/etm
천억	천억/nnc
원대의	원/nbu+대/xsn+의/jcm
재산	재산/ncn
상속권이	상속/ncn+권/xsn+이/jcs
누구에게	누구/npp+에게/jca
있는지를	있/paa+는지/ecs+를/jco
가리기	가리/pvg+기/etn
위해	위하/pvg+어/ecs
시험삼아	시험/ncn+삼/pvg+아/ecs
토지	토지/ncn
일부에	일부/ncn+에/jca
대해서만	대하/pvg+어서/ecs+만/jxc
양측이	양측/ncn+이/jcs
동시에	동시/ncn+에/jca
등기	등기/ncn
신청을	신청/ncn+을/jco
냈습니다.	내/pvg+었/ep+습니다/ef+./sf
천억원대의	천억/nnc+원/nbu+대/xsn+의/jcm
재산	재산/ncn
상속을	상속/ncn+을/jco
놓고	놓/pvg+고/ecc
벌어진	벌어지/pvg+ㄴ/etm
처삼촌과	처삼촌/ncn+과/jcj
조카사위의	조카사위/ncn+의/jcm
다툼은	다툼/ncn+은/jxc
시험	시험/ncn
소송에	소송/ncn+에/jca
처삼촌들이	처삼촌/ncn+들/xsn+이/jcs
승복하지	승복/ncpa+하/xsv+지/ecx
않음으로써	않/px+음/etn+으로써/jca
법정에서	법정/ncn+에서/jca
당분간	당분간/mag
계속될	계속/ncpa+되/xsv+ㄹ/etm
전망입니다	전망/ncn+이/jp+ㅂ니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
민병우입니다.	민병우/nq+이/jp+ㅂ니다/ef+./sf
신한국당과	신한국당/nq+과/jcj
국민회의,	국민회의/nq+,/sp
국민신당은	국민신당/nq+은/jxc
이제	이제/mag
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
득표	득표/ncn
활동에	활동/ncn+에/jca
나서고	나서/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
그렇지만	그렇지만/maj
한편으로는	한편/ncn+으로/jca+는/jxc
비방과	비방/ncn+과/jcj
폭로를	폭로/ncn+를/jco
둘러싸고	둘러싸/pvg+고/ecc
고소고발도	고소/ncn+고발/ncn+도/jxc
잇따르고	잇따르/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
먼저	먼저/mag
신한국당	신한국당/nq
이회창	이회창/nq
총재가	총재/ncn+가/jcs
오늘	오늘/ncn
순천에서	순천/nq+에서/jca
필승	필승/ncn
결의대회를	결의/ncn+대회/ncn+를/jco
갖고	갖/pvg+고/ecc
호남	호남/nq
민심	민심/ncn
얻기에	얻/pvg+기/etn+에/jca
나섰다는	나서/pvg+었/ep+다/ef+는/etm
소식을	소식/ncn+을/jco
김원태	김원태/nq
기자가	기자/ncn+가/jcs
전해드립니다.	전하/pvg+어/ecx+드리/px+ㅂ니다/ef+./sf
신한국당의	신한국당/nq+의/jcm
이회창	이회창/nq
총재는	총재/ncn+는/jxc
오늘	오늘/ncn
호남지역에서	호남/nq+지역/ncn+에서/jca
열린	열리/pvg+ㄴ/etm
필승결의대회에	필승/ncn+결의/ncn+대회/ncn+에/jca
참석해	참석/ncpa+하/xsv+어/ecs
지역감정의	지역/ncn+감정/ncn+의/jcm
타파를	타파/ncn+를/jco
호소했습니다.	호소/ncpa+하/xsv+었/ep+습니다/ef+./sf
이회창	이회창/nq
총재는	총재/ncn+는/jxc
국민회의	국민회의/nq
김대중	김대중/nq
총재의	총재/ncn+의/jcm
3자필승론을	3/nnc+자/xsn+필승/ncn+론/xsn+을/jco
강도	강도/ncn
높게	높/paa+게/ecs
비난했습니다.	비난/ncpa+하/xsv+었/ep+습니다/ef+./sf
세	세/nnc
사람이	사람/ncn+이/jcs
나와서	나오/pvg+아서/ecs
표를	표/ncn+를/jco
찢어	찢/pvg+어/ecx
가야만	가/px+아야/ecs+만/jxc
당선할	당선/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
그러한	그러한/mmd
얘기입니다.	얘기/ncn+이/jp+ㅂ니다/ef+./sf
이	이/mmd
나라는	나라/ncn+는/jxc
찢어진	찢/pvg+어/ecs+지/px+ㄴ/etm
표를	표/ncn+를/jco
가지고	가지/pvg+고/ecc
당선이	당선/ncn+이/jcc
되어서는	되/pvg+어서/ecs+는/jxc
이끌을	이끌/pvg+을/etm
수가	수/nbn+가/jcs
없습니다.	없/paa+습니다/ef+./sf
이회창	이회창/nq
총재는	총재/ncn+는/jxc
또,	또/mag+,/sp
3김정치	3/nnc+김/nq+정치/ncn
청산	청산/ncn
차원에서	차원/ncn+에서/jca
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
정치를	정치/ncn+를/jco
실현하겠다는	실현/ncpa+하/xsv+겠/ep+다/ef+는/etm
의지를	의지/ncn+를/jco
거듭	거듭/mag
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
당비를	당비/ncn+를/jco
마련하기	마련/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
자신이	자신/npp+이/jcs
살고	살/pvg+고/ecx
있는	있/px+는/etm
가옥을	가옥/ncn+을/jco
팔겠다는	팔/pvg+겠/ep+다/ef+는/etm
뜻도	뜻/ncn+도/jxc
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
구기동	구기동/nq
집을	집/ncn+을/jco
팔기로	팔/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
그래서	그래서/maj
얼마든지	얼마든지/mag
선거비용을	선거/ncn+비용/ncn+을/jco
얼마든지	얼마든지/mag
보태야지요.	보태/pvg+어야지/ef+요/jxf+./sf
하는	하/pvg+는/etm
소리를	소리/ncn+를/jco
들으면서	들/pvg+으면서/ecs
참모로써	참모/ncn+로써/jca
정말	정말/mag
눈물이	눈물/ncn+이/jcs
겨운	겹/paa+은/etm
그런	그런/mmd
심정을	심정/ncn+을/jco
느꼈습니다.	느끼/pvg+었/ep+습니다/ef+./sf
신한국당측은	신한국당/nq+측/xsn+은/jxc
앞으로	앞/ncn+으로/jca
당원들의	당원/ncn+들/xsn+의/jcm
자발적인	자발/ncn+적/xsn+이/jp+ㄴ/etm
당비	당비/ncn
납부	납부/ncn
운동을	운동/ncn+을/jco
적극	적극/mag
전개하고	전개/ncpa+하/xsv+고/ecc
천안	nq[천안/nq
연수원을	연수/ncn+원/xsn]nq+을/jco
매각해	매각/ncpa+하/xsv+어/ecs
선거자금으로	선거/ncn+자금/ncn+으로/jca
쓰는	쓰/pvg+는/etm
방안을	방안/ncn+을/jco
추진할	추진/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
알려졌습니다.	알리/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
당	당/ncn
체제가	체제/ncn+가/jcs
정비되면서	정비/ncpa+되/xsv+면서/ecs
비주류측은	비/xp+주류/ncn+측/xsn+은/jxc
오늘	오늘/ncn
그	그/mmd
동안	동안/ncn
벌여온	벌이/pvg+어/ecx+오/px+ㄴ/etm
당내	당/ncn+내/nbn
투쟁을	투쟁/ncn+을/jco
사실상	사실/ncn+상/xsn
끝내기로	끝/ncn+내/pvg+기/etn+로/jca
결정했습니다.	결정/ncpa+하/xsv+었/ep+습니다/ef+./sf
비주류측	비/xp+주류/ncn+측/xsn
의원들은	의원/ncn+들/xsn+은/jxc
앞으로	앞/ncn+으로/jca
각자의	각자/ncn+의/jcm
의사에	의사/ncn+에/jca
따라	따르/pvg+아/ecs
탈당	탈당/ncn
등	등/nbn
향후	향후/mag
거취를	거취/ncn+를/jco
결정하기로	결정/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
한편	한편/maj
민주당이	민주당/nq+이/jcs
오늘	오늘/ncn
당무회의에서	당무/ncn+회의/ncn+에서/jca
신한국당과의	신한국당/nq+과/jct+의/jcm
합당을	합당/ncn+을/jco
추인함에	추인/ncpa+하/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
이회창	이회창/nq
총재와	총재/ncn+와/jcj
조순	조순/nq
총재는	총재/ncn+는/jxc
내일	내일/ncn
공동	공동/ncn
기자회견을	기자/ncn+회견/ncn+을/jco
갖고	갖/pvg+고/ecc
합의	합의/ncn
내용을	내용/ncn+을/jco
발표할	발표/ncpa+하/xsv+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
김원태입니다.	김원태/nq+이/jp+ㅂ니다/ef+./sf
엉터리	엉터리/ncn
화장품을	화장/ncn+품/xsn+을/jco
만든	만들/pvg+ㄴ/etm
뒤에	뒤/ncn+에/jca
유명	유명/ncn
외제	외제/ncn
화장품의	화장/ncn+품/xsn+의/jcm
상표를	상표/ncn+를/jco
붙여서	붙이/pvg+어서/ecs
남대문	남대문/nq
수입	수입/ncn
상가에	상가/ncn+에/jca
팔아온	팔/pvg+아/ecx+오/px+ㄴ/etm
업자들이	업자/ncn+들/xsn+이/jcs
무더기로	무더기/ncn+로/jca
검찰에	검찰/ncn+에/jca
적발되었습니다.	적발/ncpa+되/xsv+었/ep+습니다/ef+./sf
이들이	이/npd+들/xsn+이/jcs
판	팔/pvg+ㄴ/etm
화장품은	화장/ncn+품/xsn+은/jxc
10억원어치나	10억/nnc+원/nbu+어치/xsn+나/jxc
되었습니다.	되/pvg+었/ep+습니다/ef+./sf
이언주	이언주/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
먹는	먹/pvg+는/etm
것에서	것/nbn+에서/jca
입는	입/pvg+는/etm
것까지	것/nbn+까지/jxc
수입품이라면	수입/ncn+품/xsn+이/jp+라면/ecs
모든	모든/mma
것이	것/nbn+이/jcs
다	다/mag
갖춰져	갖추/pvg+어/ecx+지/px+어/ecx
있는	있/px+는/etm
서울	서울/nq
남대문의	남대문/nq+의/jcm
수입상가.	수입/ncn+상가/ncn+./sf
~	~/sd
외제를	외제/ncn+를/jco
찾는	찾/pvg+는/etm
사람들이	사람/ncn+들/xsn+이/jcs
끊이지	끊이/pvg+지/ecx
않는	않/px+는/etm
이곳에서	이/mmd+곳/ncn+에서/jca
지난	지나/pvg+ㄴ/etm
95년	95/nno+년/nbu
초부터	초/ncn+부터/jxc
가짜	가짜/ncn
외제	외제/ncn
화장품이	화장/ncn+품/xsn+이/jcs
대량으로	대량/ncn+으로/jca
나돌기	나돌/pvg+기/etn
시작했습니다.	시작/ncpa+하/xsv+었/ep+습니다/ef+./sf
프랑스제	프랑스/nq+제/xsn
랑콤과	랑콤/nq+과/jcj
일제	일제/ncn
시세이도	시세이도/nq
상표가	상표/ncn+가/jcs
붙은	붙/pvg+은/etm
것이	것/nbn+이/jcs
주종이었습니다.	주종/ncn+이/jp+었/ep+습니다/ef+./sf
시세이도요.	시세이도/nq+요/ef+./sf
8천원씩이요.	8천/nnc+원/nbu+씩/xsn+이/jp+요/ef+./sf
가짜는	가짜/ncn+는/jxc
5천원~	5천/nnc+원/nbu+~/sd
물건이	물건/ncn+이/jcs
좀	좀/mag
싸네요.	싸/paa+네/ef+요/jxf+./sf
우리	우리/npp
나라에서	나라/ncn+에서/jca
만든	만들/pvg+ㄴ/etm
거니까	거/nbn+니까/ecs
좀	좀/mag
가짜지.	가짜/ncn+지/ef+./sf
~	~/sd
일본은	일본/nq+은/jxc
오리지널인데...	오리지널/ncn+이/jp+ㄴ데/ecs+.../se
가짜	가짜/ncn
외제	외제/ncn
화장품을	화장/ncn+품/xsn+을/jco
유통시킨	유통/ncpa+시키/xsv+ㄴ/etm
업자는	업자/ncn+는/jxc
60살	60/nnc+살/nbu
이용범씨등	이용범/nq+씨/xsn+등/nbn
모두	모두/mag
13명으로	13/nnc+명/nbu+으로/jca
지금까지	지금/ncn+까지/jxc
모두	모두/mag
10억원어치를	10억/nnc+원/nbu+어치/xsn+를/jco
팔아왔습니다.	팔/pvg+아/ecx+오/px+았/ep+습니다/ef+./sf
이들은	이/npd+들/xsn+은/jxc
파라핀과	파라핀/ncn+과/jcj
바세린에다	바세린/ncn+에다/jca
약간의	약간/ncn+의/jcm
색소만	색소/ncn+만/jxc
섞어	섞/pvg+어/ecs
가짜를	가짜/ncn+를/jco
제조했습니다.	제조/ncpa+하/xsv+었/ep+습니다/ef+./sf
이렇게	이렇/pad+게/ecs
만든	만들/px+ㄴ/etm
화장품을	화장/ncn+품/xsn+을/jco
용기에	용기/ncn+에/jca
담은	담/pvg+은/etm
뒤	뒤/ncn
위조된	위조/ncpa+되/xsv+ㄴ/etm
상표까지	상표/ncn+까지/jxc
붙이면	붙이/pvg+면/ecs
진품과	진품/ncn+과/jcj
전혀	전혀/mag
구별할	구별/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없습니다.	없/paa+습니다/ef+./sf
검찰	검찰/ncn
조사	조사/ncn
결과	결과/ncn
이들은	이/npd+들/xsn+은/jxc
주택가의	주택/ncn+가/xsn+의/jcm
허름한	허름/ncps+하/xsm+ㄴ/etm
가옥을	가옥/ncn+을/jco
골라	고르/pvg+아/ecs
제조	제조/ncn
공장으로	공장/ncn+으로/jca
사용하고	사용/ncpa+하/xsv+고/ecc
3개월에	3/nnc+개월/nbu+에/jca
한번씩	한/nnc+번/nbu+씩/xsn
공장을	공장/ncn+을/jco
옮겨가며	옮기/pvg+어/ecx+가/px+며/ecc
단속을	단속/ncn+을/jco
피해	피하/pvg+어/ecx
왔습니다.	오/px+았/ep+습니다/ef+./sf
또,	또/maj+,/sp
이들이	이/npd+들/xsn+이/jcs
만든	만들/pvg+ㄴ/etm
가짜	가짜/ncn
화장품은	화장/ncn+품/xsn+은/jxc
중국에까지	중국/nq+에/jca+까지/jxc
밀수출되어	밀수출/ncpa+되/xsv+어/ecx
온	오/px+ㄴ/etm
것으로	것/nbn+으로/jca
밝혀졌습니다.	밝히/pvg+어/ecx지/px+었/ep+습니다/ef+./sf
중국	중국/nq
교포들이	교포/ncn+들/xsn+이/jcs
국내에	국내/ncn+에/jca
들어와서	들/pvg+어/ecs+오/pvg+아서/ecs
보따리를	보따리/ncn+를/jco
가지고	가지/pvg+고/ecs
중국	중국/nq
들어가는	들/pvg+어/ecs+가/pvg+는/etm
식으로	식/nbn+으로/jca
해서	하/pvg+어서/ecs
이제	이제/mag
그	그/mmd
밀수출을	밀수출/ncn+을/jco
했다는	하/pvg+었/ep+다/ef+는/etm
것인데요...	것/nbn+이/jp+ㄴ데/ef+요/jxf+.../se
유명	유명/ncn
상표에	상표/ncn+에/jca
쉽게	쉽/paa+게/ecs
현혹되는	현혹/ncpa+되/xsv+는/etm
점을	점/ncn+을/jco
악용한	악용/ncpa+하/xsv+ㄴ/etm
가짜	가짜/ncn
화장품	화장/ncn+품/xsn
제조업자들.	제조/ncn+업자/ncn+들/xsn+./sf
~	~/sd
상표보다는	상표/ncn+보다/jca+는/jxc
품질을	품질/ncn+을/jco
우선하는	우선/ncpa+하/xsv+는/etm
소비자들의	소비/ncn+자/xsn+들/xsn+의/jcm
바른	바르/paa+ㄴ/etm
구매	구매/ncn
태도만이	태도/ncn+만/jxc+이/jcs
이들의	이/npd+들/xsn+의/jcm
설	서/pvg+ㄹ/etm
자리를	자리/ncn+를/jco
없앨	없애/pvg+ㄹ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
이언주입니다.	이언주/nq+이/jp+ㅂ니다/ef+./sf
도난을	도난/ncn+을/jco
예방하기	예방/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
아파트	아파트/ncn
집집마다	집집/ncn+마다/jxc
방범창을	방범/ncn+창/ncn+을/jco
설치해	설치/ncpa+하/xsv+어/ecx
놓고	놓/px+고/ecx
있지만,	있/px+지만/ecs+,/sp
이게	이것/npd+이/jcs
맨손으로도	맨손/ncn+으로/jca+도/jxc
쉽게	쉽/paa+게/ecs
휘어질	휘/pvg+어/ecx+지/px+ㄹ/etm
정도로	정도/ncn+로/jca
약해서	약하/paa+어서/ecs
무용지물이	무용지물/ncn+이/jcc
되고	되/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
이렇게	이렇/pad+게/ecs
허술한	허술/ncps+하/xsm+ㄴ/etm
방범창	방범/ncn+창/ncn
때문에	때문/nbn+에/jca
서울	서울/nq
도심에서	도심/ncn+에서/jca
어제	어제/ncn
오후에만도	오후/ncn+에/jca+만/jxc+도/jxc
세	세/nnc
집이나	집/nbu+이나/jxc
털렸습니다.	털리/pvg+었/ep+습니다/ef+./sf
김성호	김성호/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
어제	어제/ncn
오후	오후/ncn
서울	서울/nq
상계동	상계동/nq
주공아파트	주공/ncn+아파트/ncn
1302동	1302/nnc+동/nbu
박모씨집과	박/nq+모/ncn+씨/xsn+집/ncn+과/jcj
바로	바로/mag
옆동인	옆/ncn+동/ncn+이/jp+ㄴ/etm
김모씨	김/nq+모/ncn+씨/xsn
집에	집/ncn+에/jca
도둑이	도둑/ncn+이/jcs
들어	들/pvg+어/ecs
각각	각각/mag
귀금속등	귀금속/ncn+등/nbn
200여만원어치를	200/nnc+여/xsn+만/nnc+원/nbu+어치/xsn+를/jco
훔쳐	훔치/pvg+어/ecs
달아났습니다.	달아나/pvg+았/ep+습니다/ef+./sf
또	또/maj
2킬로미터	2/nnc+킬로미터/nbu
떨어진	떨어지/pvg+ㄴ/etm
창동	창동/nq
주공아파트	주공/ncn+아파트/ncn
1703동	1703/nnc+동/nbu
박모씨	박/nq+모/ncn+씨/xsn
집도	집/ncn+도/jxc
200만원어치를	200/nnc+만/nnc+원/nbu+어치/xsn+를/jco
도난당했습니다.	도난/ncn+당하/pvg+었/ep+습니다/ef+./sf
도둑은	도둑/ncn+은/jxc
세집	세/ncn+집/ncn
모두	모두/ncn
복도	복도/ncn
쪽으로	쪽/nbn+으로/jca
나	나/pvg+아/ecx
있는	있/px+는/etm
창문을	창문/ncn+을/jco
통해	통하/pvg+어/ecs
아파트로	아파트/ncn+로/jca
들어갔습니다.	들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
도난을	도난/ncn+을/jco
막기	막/pvg+기/etn
위해	위하/pvg+어/ecs
모두	모두/mag
방범창을	방범/ncn+창/ncn+을/jco
설치해	설치/ncpa+하/xsv+어/ecx
뒀지만	두/px+었/ep+지만/ecs
전혀	전혀/mag
소용이	소용/ncn+이/jcs
없었습니다.	없/paa+었/ep+습니다/ef+./sf
도난	도난/ncn
당한	당하/pvg+ㄴ/etm
가정의	가정/ncn+의/jcm
방범창입니다.	방범/ncn+창/ncn+이/jp+ㅂ니다/ef+./sf
또	또/maj
쇠창살의	쇠/ncn+창살/ncn+의/jcm
강도가	강도/ncn+가/jcs
약해	약하/paa+어/ecs
손으로	손/ncn+으로/jca
힘을	힘/ncn+을/jco
주기만	주/pvg+기/etn+만/jxc
해도	하/pvg+어도/ecs
쉽게	쉽/paa+게/ecs
휘어집니다.	휘/pvg+어/ecx+지/px+ㅂ니다/ef+./sf
이게	이것/npd+이/jcs
허수아비에요.	허수아비/ncn+이/jp+어/ef+요/jxf+./sf
이렇게	이렇/pad+게/ecx
하면	하/px+면/ecs
쉽게	쉽/paa+게/ecs
떨어지고	떨어지/pvg+고/ecc
10호집은	10/nnc+호/nbu+집/ncn+은/jxc
이게	이것/npd+이/jcs
빠져가지고	빠지/pvg+어/ecx+가지/px+고/ecc
지금	지금/ncn
철사로	철사/ncn+로/jca
이렇게	이렇/pad+게/ecx
해서.	하/px+어서/ecs+./sf
창문에	창문/ncn+에/jca
아무렇게나	아무렇/pad+게/ecs+나/jxc
고정시켜	고정/ncpa+시키/xsv+어/ecx
놓아	놓/px+아/ecs
창틀째	창틀/ncn+째/xsn
떨어져나가는	떨어지/pvg+어/ecx+나가/px+는/etm
경우도	경우/ncn+도/jxc
적지	적/paa+지/ecx
않습니다.	않/px+습니다/ef+./sf
방범창	방범/ncn+창/ncn
고정	고정/ncn
방법이래야	방법/ncn+이/jp+래야/ecs
단지	단지/mag
시멘트	시멘트/ncn
못	못/ncn
4개뿐으로	4/nnc+개/nbu+뿐/jxc+으로/jca
못만	못/ncn+만/jxc
빼내면	빼내/pvg+면/ecs
간단히	간단/ncn+히/xsa
떨어져	떨어지/pvg+어/ecx
나가기	나가/px+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
방범창	방범/ncn+창/ncn
설치	설치/ncn
업자도	업자/ncn+도/jxc
쓸모가	쓸모/ncn+가/jcs
없음을	없/paa+음/etn+을/jco
시인합니다.	시인/ncpa+하/xsv+ㅂ니다/ef+./sf
좀	좀/mag
약하긴	약하/paa+기/etn+ㄴ/jxc
약하다.	약하/paa+다/ef+./sf
뜯으면	뜯/pvg+으면/ecs
뜯어지고	뜯/pvg+어/ecx+지/px+고/ecc
자르면	자르/pvg+면/ecs
잘라지고...	자르/pvg+아/ecx+지/px+고/ecc+.../se
그러나	그러나/maj
방범창	방범/ncn+창/ncn
설치	설치/ncn
업자들은	업자/ncn+들/xsn+은/jxc
대부분	대부분/ncn
신축	신축/ncn
아파트를	아파트/ncn+를/jco
돌아다니며	돌/pvg+아/ecs+다니/pvg+며/ecs
철새처럼	철새/ncn+처럼/jca
공사를	공사/ncn+를/jco
한	하/pvg+ㄴ/etm
뒤	뒤/ncn
사라져버려	사라지/pvg+어/ecx+버리/px+어/ecs
피해보상은커녕	피해/ncn+보상/ncn+은커녕/jxc
수리조차	수리/ncn+조차/jxc
받을	받/pvg+을/etm
수	수/nbn
없어	없/paa+어/ecs
집집마다	집집/ncn+마다/jxc
스스로	스스로/mag
조심할	조심/ncpa+하/xsv+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없는	없/paa+는/etm
형편입니다.	형편/ncn+이/jp+ㅂ니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
김성호입니다.	김성호/nq+이/jp+ㅂ니다/ef+./sf
서울	서울/nq
마포구청의	마포구청/nq+의/jcm
자동차	자동/ncn+차/ncn
등록세	등록/ncn+세/ncn
증발	증발/ncn
사건은	사건/ncn+은/jxc
등록	등록/ncn
대행업체	대행/ncn+업체/ncn
직원	직원/ncn
정모씨와	정/nq+모/ncn+씨/xsn+와/jcj
상업은행	상업/ncn+은행/ncn
직원들이	직원/ncn+들/xsn+이/jcs
공모해서	공모/ncpa+하/xsv+어서/ecs
조직적으로	조직/ncn+적/xsn+으로/jca
세금을	세금/ncn+을/jco
빼돌렸다는	빼/pvg+어/ecs+돌리/pvg+었/ep+다/ef+는/etm
