<tdmsfile>
sbsns.hwp
이렇게	이렇/pad+게/ecs
물들였습니다.	{SBS/이용식}
"내장사	"/sl+내장사/nq
일주문	일주문/nq
앞길은	앞길/ncn+은/jxc
단풍놀이에	단풍/ncn+놀이/ncn+에/jca
나선	나서/pvg+ㄴ/etm
시민들로	시민/ncn+들/xsn+로/jca
원색의	원색/ncn+의/jcm
물결을	물결/ncn+을/jco
이뤘습니다.	이루/pvg+었/ep+습니다/ef+./sf
"	"/sl
산을	산/ncn+을/jco
오르는	오르/pvg+는/etm
시민들은	시민/ncn+들/xsn+은/jxc
단풍재미에	단풍/ncn+재미/ncn+에/jca
빠져	빠지/pvg+어/ecs
어느때보다	어느/mmd+때/ncn+보다/jca
발걸음이	발걸음/ncn+이/jcs
가쁜	가쁘/paa+ㄴ/etm+
행보입니다.	행보/ncn+이/jp+ㅂ니다/ef+./sf
살포시	살포시/mag
고개를	고개/ncn+를/jco
내민	내/pvg+어/ecs+밀/pvg+ㄴ/etm
선홍색의	선홍색/ncn+의/jcm
단풍잎은	단풍/ncn+잎/ncn+은/jxc
행락객들의	행락/ncn+객/xsn+들/xsn+의/jcm
시선을	시선/ncn+을/jco
유혹합니다.	유혹/ncpa+하/xsv+ㅂ니다/ef+./sf
{강영주	{/sl+강영주/nq
경남	경남/nq
마산시	마산시/nq
자산동}	자산동/nq+}/sr
".	"/sr+./sf
단풍이	단풍/ncn+이/jcs
참좋아요.	참/mag+좋/paa+아/ef+요/jxf+./sf
"	"/sl
골짜기	골짜기/ncn
물살에	물살/ncn+에/jca
떠다니는	뜨/pvg+어/ecs+다니/pvg+는/etm
단풍잎과	단풍/ncn+잎/ncn+과/jcj
둥지를	둥지/ncn+를/jco
쪼아대는	쪼/pvg+아/ecx+대/px+는/etm
멧새의	멧새/ncn+의/jcm
모습은	모습/ncn+은/jxc
정겹기까지합니다.	정/ncn+겹/paa+기/etn+까지/jxc+하/pvg+ㅂ니다/ef+./sf
단풍나무아래는	단풍/ncn+나무/ncn+아래/ncn+는/jxc
연인과	연인/ncn+과/jcj
가족끼리	가족/ncn+끼리/xsn
멋진포즈를	멋지/paa++ㄴ/etm+포즈/ncn+를/jco
잡느라	잡/pvg+느라/ecs
시간가는	시간/ncn+가/pvg+는/etm
줄도	줄/nbn+도/jxc
잊었습니다.	잊/pvg+었/ep+습니다/ef+./sf
오늘	오늘/mag
내장산에는	내장산/nq+에/jca+는/jxc
3만여명이	3만/nnc+여/xsn+명/nbu+이/jcs
찾아와	찾/pvg+아/ecs+오/pvg+아/ecs
저물어가는	저물/pvg+어/ecx+가/px+는/etm
가을속에	가을/ncn+속/ncn+에/jca
막바지	막바지/ncn
단풍놀이를	단풍/ncn+놀이/ncn+를/jco
즐겼습니다.	즐기/pvg+었/ep+습니다/ef+./sf
SBS	SBS/f
이용식입니다.	이용식/nq+이/jp+ㅂ니다/ef+./sf
전국적으로	전국/ncn+적/xsn+으로/jca
가을가뭄	가을/ncn+가뭄/ncn
피해가	피해/ncn+가/jcs
속출되면서	속출/ncpa+되/xsv+면서/ecs
최악의	최악/ncn+의/jcm
가뭄을	가뭄/ncn+을/jco
맞고	맞/pvg+고/ecx
있는	있/px+는/etm
제주도는	제주도/nq+는/jxc
수확을	수확/ncn+을/jco
앞둔	앞/ncn+두/pvg+ㄴ/etm
감자가	감자/ncn+가/jcs
말라죽는	마르/pvg+아/ecs+죽/pvg+는/etm
등	등/nbn
밭작물	밭/ncn+작물/ncn
피해가	피해/ncn+가/jcs
확산되고	확산/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
더구나	더구나/mag
여름가뭄이	여름/ncn+가뭄/ncn+이/jcs
가을가뭄으로까지	가을/ncn+가뭄/ncn+으로/jca+까지/jxc
이어지면서	잇/pvg+어/ecx+지/px+면서/ecs
경작지가	경작/ncn+지/xsn+가/jcs
타들어가	타/pvg+아/ecx+들/px+어/ecx+가/px+아/ecs
농심이	농심/nq+이/jcs
멍들고	멍/ncn+들/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
가뭄현장을	가뭄/ncn+현장/ncn+을/jco
이용탁기자가	이용탁/nq+기자/ncn+가/jcs
다녀왔습니다.	다니/pvg+어/ecs+오/pvg+았/ep+습니다/ef+./sf
여름가뭄에	여름/ncn+가뭄/ncn+에/jca
이어	잇/pvg+어/ecs
한	한/nnc
달	달/nbu
넘게	넘/pvg+게/ecs
비가오지	비/ncn+가/jcs+오/pvg+지/ecx
않으면서	않/px+으면서/ecs
제주들녘이	제주/nq+들녘/ncn+이/jcs
타들어	타/pvg+아/ecx+들/px+어/ecx
가고	가/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
지난23년	지나/pvg+ㄴ/etm+23/nnc+년/nbu
기상관측이	기상/ncn+관측/ncn+이/jcs
시작된	시작/ncpa+되/xsv+ㄴ/etm
이래	이래/nbn
제주에서는	제주/nq+에서/jca+는/jxc
최악의	최악/ncn+의/jcm
가뭄입니다.	가뭄/ncn+이/jp+ㅂ니다/ef+./sf
단	단/mma
한번도	한/nnc+번/nbu+도/jxc
물이	물/ncn+이/jcs
마르지	마르/pvg+지/ecx
않았던	않/px+았/ep+던/etm
저수지도	저수/ncn+지/xsn+도/jxc
거북이	거북이/ncn
등처럼	등/nbn+처럼/jca
갈라지면서	가르/pvg+아/ecx+지/px+면서/ecs
바닥을	바닥/ncn+을/jco
완전히	완전/ncn+히/xsa
드러냈습니다.	드러내/pvg+었/ep+습니다/ef+./sf
생육을	생육/ncn+을/jco
멈춘	멈추/pvg+ㄴ/etm
마늘밭,	마늘/ncn+밭/ncn+,/sp
안간힘을	안간힘/ncn+을/jco
다해	다하/pvg+어/ecx
보지만	보/px+지만/ecs
수확을	수확/ncn+을/jco
기대할	기대/ncpa+하/xsv+ㄹ/etm
순	수/nbn+ㄴ/jxc
없습니다.	없/paa+습니다/ef+./sf
"물을	"/sl+물/ncn+을/jco
줘도	주/pvg+어도/ecs
될지	되/pvg+ㄹ지/ecs
안될지	안/mag+되/pvg+ㄹ지/ecs
모른다.	모르/pvg+ㄴ다/ef+./sf
물이	물/ncn+이/jcs
절실하다"	절실/ncps+하/xsm+다/ef+"/sr
가뭄피해는	가뭄/ncn+피해/ncn+는/jxc
감귤로도	감귤/ncn+로/jca+도/jxc
확산되면서	확산/ncpa+되/xsv+면서/ecs
급수지원에	급수/ncn+지원/ncn+에/jca
비상이	비상/ncn+이/jcs
걸렸습니다.	걸리/pvg+었/ep+습니다/ef+./sf
감귤알맹이의	감귤/ncn+알맹이/ncn+의/jcm
수분량으로	수분/ncn+량/ncn+으로/jca
지탱하는	지탱/ncpa+하/xsv+는/etm
나무가	나무/ncn+가/jcs
감귤을	감귤/ncn+을/jco
수확해	수확/ncpa+하/xsv+어/ecx
버리면	버리/px+면/ecs
말라죽게	마르/pvg+아/ecs+죽/pvg+게/ecs
돼	되/pvg+어/ecs
농민들은	농민/ncn+들/xsn+은/jxc
수확을	수확/ncn+을/jco
하지	하/pvg+지/ecx
못하고	못/mag+하/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
지속되는	지속/ncpa+되/xsv+는/etm
가뭄으로	가뭄/ncn+으로/jca
토양의	토양/ncn+의/jcm
수분함량이	수분/ncn+함량/ncn+이/jcs
밭작물의	밭/ncn+작물/ncn+의/jcm
성장기준치인	성장/ncn+기준/ncn+치/xsn+이/jp+ㄴ/etm
60%보다	60/nnc+%/su+보다/jca
적은	적/paa+은/jxc
55%	55/nnc+%/su
밖에	밖에/jxc
되지	되/pvg+지/ecx
않습니다.	않/px+습니다/ef+./sf
더구나	더구나/mag
당분간	당분간/mag
가뭄이	가뭄/ncn+이/jcs
계속될	계속/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
기상대는	기상대/ncn+는/jxc
내다보고	내/pvg+어다/ecx+보/px+고/ecx
있어	있/px+어/ecs
농작물의	농작/ncn+물/xsn+의/jcm
피해가	피해/ncn+가/jcs
늘어날	늘/pvg+어/ecs+나/pvg+ㄹ/etm
전망입니다.	전망/ncn+이/jp+ㅂ니다/ef+./sf
제주에서	제주/nq+에서/jca
sbs	SBS/f
이용탁입니다.	이용탁/nq+이/jp+ㅂ니다/ef+./sf
신한국당	신한국당/nq
박범진	박범진/nq
의원을	의원/ncn+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
현역	현역/ncn
의원	의원/ncn
4명과	4/nnc+명/nbu+과/jcj
원외	원외/ncn
지구당	지구당/ncn
위원장	위원/ncn+장/xsn
두명이	두/nnc+명/nbu+이/jcs
오늘	오늘/ncn
추가로	추가/ncn+로/jca
탈당했습니다.	탈당/ncpa+하/xsv+었/ep+습니다/ef+./sf
주류측은	주류/ncn+측/nbn+은/jxc
일단	일단/mag
연쇄탈당이	연쇄/ncn+탈당/ncn+이/jcs
마무리된	마무리/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecx
대야	대/xp+야/ncn
공세를	공세/ncn+를/jco
본격화할	본격/ncpa+화/xsn+하/xsv+ㄹ/etm
계획인	계획/ncn+이/jp+ㄴ/etm
반면	반면/mag
잔류파	잔류/ncn+파/xsn
비주류는	비/xp+주류/ncn+는/jxc
집단탈당까지	집단/ncn+탈당/ncn+까지/jxc
각오하며	각오/ncpa+하/xsv+며/ecs
총재	총재/ncn
용퇴를	용퇴/ncn+를/jco
관철시킨다는	관철/ncn+시키/xsv+ㄴ다/ef+는/etm
방침이어서	방침/ncn+이/jp+어서/ecs
당내	당/ncn+내/nbn
갈등은	갈등/ncn+은/jxc
새로운	새롭/paa+ㄴ/etm
국면을	국면/ncn+을/jco
맞게	맞/pvg+게/ecx
됐습니다.	되/px+었/ep+습니다/ef+./sf
김성준	김성준/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
신한국당	신한국당/nq
박범진.	박범진/nq+./sf
이용삼.	이용삼/nq+./sf
김학원.	김학원/nq+./sf
원유철	원유철/nq
의원과	의원/ncn+과/jcj
원외의	원외/ncn+의/jcm
김충근.	김충근/nq+./sf
박종선	박종선/nq
위원장이	위원/ncn+장/xsn+이/jcs
오늘	오늘/ncn
탈당했습니다.	탈당/ncpa+하/xsv+었/ep+습니다/ef+./sf
{	{/sl
김학원	김학원/nq
전	전/mma
신한국당	신한국당/nq
의원}	의원/ncn+}/sr
"DJP	"/sl+DJP/nq
야합집권을	야합/ncn+집권/ncn+을/jco
저지하고	저지/ncpa+하/xsv+고/ecs
21세기	21/nno+세기/nbu
비젼을	비젼/ncn+을/jco
제시하는	제시/ncpa+하/xsv+는/etm
새정치의	새/mma+정치/ncn+의/jcm
구현이라는	구현/ncn+이/jp+라/ef+는/etm
소임을	소임/ncn+을/jco
다하고자	다하/pvg+고자/ecx
합니다.	하/px+ㅂ니다/ef+./sf
"	"/sl
이들은	이/npd+들/xsn+은/jxc
이미	이미/mag
탈당한	탈당/ncpa+하/xsv+ㄴ/etm
이만섭	이만섭/nq
전	전/mma
국회의장과	국회/ncn+의장/ncn+과/jct
함께	함께/mag
내일	내일/mag
이인제	이인제/nq
전	전/mma
지사의	지사/ncn+의/jcm
가칭	가칭/ncn
국민신당에	국민신당/nq+에/jca
입당하기로	입당/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
주류측은	주류/ncn+측/nbn+은/jxc
이들의	이/npp+들/xsn+의/jcm
탈당을	탈당/ncn+을/jco
계기로	계기/ncn+로/jca
주류중심	주류/ncn+중심/ncn
체제를	체제/ncn+를/jco
갖춰	갖추/pvg+어/ecs
본격적으로	본격/ncn+적/xsn+으로/jca
대선전에	대선/ncn+전/xsn+에/jca
나서기로	나서/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
이회창	이회창/nq
총재는	총재/ncn+는/jxc
내일	내일/mag
기자회견을	기자/ncn+회견/ncn+을/jco
갖고	갖/pvg+고/ecs
3김	3/nnc+김/nq
정치의	정치/ncn+의/jcm
청산과,	청산/ncn+과/jcj+,/sp
민주계	민주계/nq
정권과의	정권/ncn+과/jct+의/jcm
차별화를	차별/ncn+화/xsn+를/jco
강조하면서	강조/ncpa+하/xsv+면서/ecs
'반DJP.	'/sl+반/xp+DJP/f+./sf
비민주계	비/xp+민주계/nq
세력'의	세력/ncn+'/sr+의/jcm
동참을	동참/ncn+을/jco
호소합니다.	호소/ncpa+하/xsv+ㅂ니다/ef+./sf
또	또/maj
조순	조순/nq
후보와의	후보/ncn+와/jct+의/jcm
연대성사에도	연대/ncn+성사/ncn+에/jca+도/jxc
주력하기로	주력/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
이에	이/npd+에/jca
대해	대하/pvg+어/ecs
당에	당/ncn+에/jca
남은	남/pvg+은/etm
비주류측은	비/xp+주류/ncn+측/nbn+은/jxc
이	이/nq
총재	총재/ncn
퇴진	퇴진/ncn
운동을	운동/ncn+을/jco
계속하면서	계속/ncpa+하/xsv+면서/ecs
관망파들을	관망/ncn+파/xsn+들/xsn+을/jco
상대로	상대/ncn+로/jca
세확산에	세/ncn+확산/ncn+에/jca
주력할	주력/ncpa+하/xsv+ㄹ/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
특히	특히/mag
이	이/nq
총재가	총재/ncn+가/jcs
이인제	이인제/nq
후보와의	후보/ncn+와/jct+의/jcm
연대불가를	연대/ncn+불가/ncn+를/jco
계속	계속/mag
고집할	고집/ncpa+하/xsv+ㄹ/etm
경우	경우/ncn
모레	모레/ncn
국민신당	국민신당/nq
창당	창당/ncn
이후	이후/ncn
집단	집단/ncn
탈당도	탈당/ncn+도/jxc
불사하겠다고	불사/ncpa+하/xsv+겠/ep+다/ef+고/jcr
공언하고	공언/ncpa+하/xsv+고/ecs
있어	있/paa+어/ecs
신한국당의	신한국당/nq+의/jcm
분당은	분당/ncn+은/jxc
수순밟기만	수순/ncn+밟/pvg+기/etn+만/jxc
남겨놓게	남기/pvg+어/ecx+놓/px+게/ecx
됐습니다.	되/px+었/ep+습니다/ef+./sf
SBS	SBS/f
김성준입니다.	김성준/nq+이/jp+ㅂ니다/ef+./sf
국민회의와	국민회의/nq+와/jcj
자민련의	자민련/nq+의/jcm
후보단일화가	후보/ncn+단일/ncn+화/xsn+가/jcs
내일	내일/ncn
공식적으로	공식/ncn+적/xsn+으로/jca
마무리됩니다.	마무리/ncpa+되/xsv+ㅂ니다/ef+./sf
반면에	반면에/maj
이른바	이른바/mag
반	반/xp
DJP	DJP/f
진영에서도	진영/ncn+에서/jca+도/jxc
연대	연대/ncn
움직임이	움직임/ncn+이/jcs
활발하게	활발/ncps+하/xsm+게/ecs
전개되고	전개/ncpa+되/xsv+고/ecx
있어서	있/px+어서/ecs
이번주가	이/mmd+번/nbn+주/ncn+가/jcs
대선구도	대선/ncn+구도/ncn
재편	재편/ncn
가능성을	가능/ncn+성/xsn+을/jco
가늠할	가늠/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
계기가	계기/ncn+가/jcs
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
장현규	장현규/nq
기자의	기자/ncn+의/jcm
보돕니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
내일	내일/mag
국민회의와	국민회의/nq+와/jcj
자민련의	자민련/nq+의/jcm
후보	후보/ncn
단일화	단일/ncn+화/xsn
서명,	서명/ncn+,/sp
4일	4/nno+일/nbu
이인제	이인제/nq
후보의	후보/ncn+의/jcm
가칭	가칭/ncn
국민신당	국민신당/nq
창당,	창당/ncn+,/sp
5일	5/nno+일/nbu
조순	조순/nq
민주당	민주당/nq
총재의	총재/ncn+의/jcm
반	반/xp
DJP연대	DJP/f+연대/ncn
3자회담	3/nnc+자/nbu+회담/ncn
제의,	제의/ncn+,/sp
이번주에	이/mmd+번/nbn+주/ncn+에/jca
예고된	예고/ncpa+되/xsv+ㄴ/etm
이런	이런/mmd
정치일정을	정치/ncn+일정/ncn+을/jco
통해	통하/pvg+어/ecs
대선구도	대선/ncn+구도/ncn
재편	재편/ncn
가능성이	가능/ncn+성/xsn+이/jcs
점차	점차/mag
고조되고	고조/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
국민회의와	국민회의/nq+와/jcj
자민련은	자민련/nq+은/jxc
내일	내일/mag
두	두/nnc
김	김/nq
총재의	총재/ncn+의/jcm
후보단일화	후보/ncn+단일/ncn+화/xsn
합의문	합의/ncn+문/xsn
서명을	서명/ncn+을/jco
시작으로	시작/ncn+으로/jca
대대적인	대대/ncn+적/xsn+이/jp+ㄴ/etm
세불리기에	세/ncn+불리/pvg+기/etn+에/jca
나섭니다.	나서/pvg+ㅂ니다/ef+./sf
두당은	두/nnc+당/ncn+은/jxc
국민통합추진회의	국민통합추진회의/nq
인사들의	인사/ncn+들/xsn+의/jcm
국민회의	국민회의/nq
입당과	입당/ncn+과/jcj
모레	모레/ncn
박태준	박태준/nq
의원의	의원/ncn+의/jcm
자민련	자민련/nq
입당을	입당/ncn+을/jco
신호로	신호/ncn+로/jca
신한국당	신한국당/nq
민정계	민정계/nq
인사	인사/ncn
등	등/nbn
내각제	내각/ncn+제/xsn
선호	선호/ncn
세력의	세력/ncn+의/jcm
영입에도	영입/ncn+에/jca+도/jxc
박차를	박차/ncn+를/jco
가하기로	가하/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
이인제	이인제/nq
후보측도	후보/ncn+측/nbn+도/jxc
모레	모레/mag
창당대회를	창당/ncn+대회/ncn+를/jco
계기로	계기/ncn+로/jca
여야	여야/ncn
가리지	가리/pvg+지/ecx
않고	않/px+고/ecs
영입	영입/ncn
작업에	작업/ncn+에/jca
나서기로	나서/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
국민신당은	국민신당/nq+은/jxc
신한국당	신한국당/nq
탈당파들의	탈당/ncn+파/xsn+들/xsn+의/jcm
입당으로	입당/ncn+으로/jca
당	당/ncn
체제가	체제/ncn+가/jcs
갖춰지면	갖추/pvg+어/ecx+지/px+면/ecs
DJP	DJP/f
연대	연대/ncn
참여를	참여/ncn+를/jco
주저하는	주저/ncpa+하/xsv+는/etm
자민련	자민련/nq
인사들과	인사/ncn+들/xsn+과/jcj
국민통추의	국민통추/nq+의/jcm
반	반/xp
DJ	DJ/f
인사들을	인사/ncn+들/xsn+을/jco
영입해	영입/ncpa+하/xsv+어/ecs
반	반/xp
DJP의	DJP/f+의/jcm
구심점	구심/ncn+점/ncn
역할을	역할/ncn+을/jco
한다는	하/pvg+ㄴ다/ef+는/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
조순	조순/nq
민주당	민주당/nq
총재는	총재/ncn+는/jxc
오는	오/pvg+는/etm
5일	5/nno+일/nbu
특별기자회견을	특별/ncn+기자/ncn+회견/ncn+을/jco
갖고	갖/pvg+고/ecs
반	반/xp
DJP연대를	DJP/f+연대/ncn+를/jco
위한	위하/pvg+ㄴ/etm
3자회담을	3/nnc+자/nbu+회담/ncn+을/jco
공식	공식/ncn
제의하면서	제의/ncpa+하/xsv+면서/ecs
연대추진에	연대/ncn+추진/ncn+에/jca
본격적으로	본격/ncn+적/xsn+으로/jca
나설	나서/pvg+ㄹ/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
조	조/nq
총재측은	총재/ncn+측/nbn+은/jxc
특히	특히/mag
이회창	이회창/nq
신한국당	신한국당/nq
총재	총재/ncn
쪽과	쪽/nbn+과/jct
활발한	활발/ncps+하/xsm+ㄴ/etm
접촉을	접촉/ncn+을/jco
갖고	갖/pvg+고/ecx
있으며	있/px+으며/ecs
빠르면	빠르/paa+면/ecs
이번주말에는	이/mmd+번/nbn+주말/ncn+에/jca+는/jxc
성과가	성과/ncn+가/jcs
있을	있/paa+을/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
기대도	기대/ncn+도/jxc
나오고	나오/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
이에따라	이/npd+에/jca+따르/pvg+아/ecs
이번주를	이/mmd+번/nbn+주/ncn+를/jco
고비로	고비/ncn+로/jca
대선정국이	대선/ncn+정국/ncn+이/jcs
3자대결	3/nnc+자/nbu+대결/ncn
구도로	구도/ncn+로/jca
재편되면서	재편/ncpa+되/xsv+면서/ecs
정치권에	정치/ncn+권/xsn+에/jca
이합집산의	이합집산/ncn+의/jcm
소용돌이가	소용돌이/ncn+가/jcs
일어날	일/pvg+어/ecs+나/pvg+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
높습니다.	높/paa+습니다/ef+./sf
에스비에스	에스비에스/nq
장현규입니다.	장현규/nq+이/jp+ㅂ니다/ef+./sf
유조선	유조/ncn+선/xsn
폭발사고로	폭발/ncn+사고/ncn+로/jca
17명의	17/nnc+명/nbu+의/jcm
사상자를	사상/ncn+자/xsn+를/jco
낸	내/pvg+ㄴ/etm
지	지/nbn
불과	불과/mag
6일만에	6/nno+일/nbu+만/nbn+에/jca
울산에서	울산/nq+에서/jca
또다시	또다시/mag
선박폭발사고가	선박/ncn+폭발/ncn+사고/ncn+가/jcs
발생했습니다.	발생/ncpa+하/xsv+었/ep+습니다/ef+./sf
오늘	오늘/ncn
사고로	사고/ncn+로/jca
배안에서	배/ncn+안/ncn+에서/jca
작업을	작업/ncn+을/jco
하던	하/pvg+던/etm
선원	선원/ncn
3명이	3/nnc+명/nbu+이/jcs
숨졌습니다.	숨지/pvg+었/ep+습니다/ef+./sf
사고소식을	사고/ncn+소식/ncn+을/jco
김성룡기자가	김성룡/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
오늘	오늘/mag
낮	낮/ncn
12시20분.	12/nno+시/nbu+20/nno+분/nbu+./sf
울산항	울산항/nq
5백미터	5백/nnc+미터/nbu
해상에	해상/ncn+에/jca
정박중이던	정박/ncn+중/nbn+이/jp+던/etm
천6백톤급	천/nnc+6백/nnc+톤/nbu+급/nbu
유류운반선인	유류/ncn+운반/ncn+선인/ncn
제5한창호에서	nq[제/xp+5/nno+한창호/nq]nq+에서/jca
폭발사고가	폭발/ncn+사고/ncn+가/jcs
일어났습니다.	일/pvg+어/ecs+나/pvg+았/ep+습니다/ef+./sf
{김석은,	{/sl+김석은/nq+,/sp
울산해경	울산/nq+해경/nq
소방정소속	소방정/ncn+소속/ncn
직원}	직원/ncn+}/sr
"바로	"/sl+바로/mag
동방파제	동/ncn+방파/ncn+제/xsn
앞에서	앞/nbn+에서/jca
경비를	경비/ncn+를/jco
서고	서/pvg+고/ecx
있는데	있/px+는데/ecs
여기서	여기/npd+서/jca
폭발음이	폭발/ncn+음/ncn+이/jcs
들려	들리/pvg+어/ecs
확인해보니	확인/ncpa+하/xsv+어/ecx+보/px+니/ecs
선박에서	선박/ncn+에서/jca
연기가	연기/ncn+가/jcs
심하게	심하/paa+게/ecs
오르고"	오르/pvg+고/ecs+"/sr
불이나자	불/ncn+이/jcs+나/pvg+자/ecs
해경은	해경/ncn+은/jxc
소방정을	소방정/ncn+을/jco
동원해	동원/ncpa+하/xsv+어/ecs
긴급	긴급/ncn
진화작업에	진화/ncn+작업/ncn+에/jca
나서	나서/pvg+어/ecs
불길은	불길/ncn+은/jxc
1시간여만에	1/nnc+시간/nbu+여/xsn+만/nbn+에/jca
잡혔습니다.	잡히/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
폭발이	폭발/ncn+이/jcs
일어난	일/pvg+어/ecs+나/pvg+ㄴ/etm
5번	5/nnc+번/nbu
탱크	탱크/ncn
주변은	주변/ncn+은/jxc
휴지조각처럼	휴지/ncn+조각/ncn+처럼/jca
일그러졌습니다.	일그러지/pvg+었/ep+습니다/ef+./sf
"갑판	"/sl+갑판/ncn
한쪽은	한쪽/ncn+은/jxc
흔적도	흔적/ncn+도/jxc
없이	없/paa+이/ecs
날아가	날/pvg+아/ecs+가/pvg+아/ecx
버렸고	버리/px+었/ep+고/ecs
나머지	나머지/ncn
철구조물은	철/ncn+구조/ncn+물/xsn+은/jxc
산산조각이	산산조각/ncn+이/jcs
난채	나/pvg+ㄴ/etm+채/nbn
어지럽게	어지럽/paa+게/ecs
널려있어	널리/pvg+어/ecx+있/px+어/ecs
마치	마치/mag
폭격을	폭격/ncn+을/jco
맞은것	맞/pvg+은/etm+것/nbn
같읍니다.	같/paa+읍니다/ef+./sf
"	"/sl
배안에는	배/ncn+안/ncn+에/jca+는/jxc
아직도	아직도/mag
연기가	연기/ncn+가/jcs
자욱합니다.	자욱/ncps+하/xsm+ㅂ니다/ef+./sf
오늘	오늘/mag
사고로	사고/ncn+로/jca
갑판장	갑판/ncn+장/xsn
50살	50/nno+살/nbu
홍재두씨	홍재두/nq+씨/xsn
등	등/nbn
3명이	3/nnc+명/nbu+이/jcs
{사망자(3명)/	{/sl+사망/ncn+자/xsn+(/sl+3/nnc+명/nbu+)/sr+//sp
홍재두(50,갑판장)최수복(43,1항사)정상진(42,선원)}	홍재두/nq+(/sl+50/nno+,/sp+갑판/ncn+장
홍재두(50,갑판장)최수복(43,1항사)정상진(42,선원)}	/xsn+)/sr+최수복/nq+(/sl+43/nno+,/sp+1/nno+항사/ncn+)/sr+정상진/nq+(/sl+42/nno+,/sp+선
홍재두(50,갑판장)최수복(43,1항사)정상진(42,선원)}	원/ncn+)}/sy
탱크	탱크/ncn
밑바닥에서	밑/ncn+바닥/ncn+에서/jca
숨진채	숨/ncn+지/pvg+ㄴ/etm+채/nbn
발견됐습니다.	발견/ncpa+되/xsv+었/ep+다/ef+./sf
사고당시	사고/ncn+당시/ncn
선실안에는	선실/ncn+안/nbn+에/jca+는/jxc
9명의	9/nnc+명/nbu+의/jcm
선원이	선원/ncn+이/jcs
잠을	잠/ncn+을/jco
자고	자/pvg+고/ecx
있었으나	있/px+었/ep+으나/ecs
불길이	불길/ncn+이/jcs
